Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(CloudCover),P5(SolarIrradiance)
1,2019,5,17,23,3,5,4,29,7,
1,2019,5,18,0,0,6,5,21,7,
1,2019,5,18,0,1,6,5,21,7,
1,2019,5,18,0,2,6,5,21,7,
1,2019,5,18,0,3,6,5,21,7,
1,2019,5,18,1,0,6,5,21,7,
1,2019,5,18,1,1,6,5,21,7,
1,2019,5,18,1,2,6,5,21,7,
1,2019,5,18,1,3,6,5,21,7,
1,2019,5,18,2,0,6,5,21,7,
1,2019,5,18,2,1,6,5,21,7,
1,2019,5,18,2,2,6,5,21,7,
1,2019,5,18,2,3,6,5,21,7,
1,2019,5,18,3,0,6,5,21,7,
1,2019,5,18,3,1,6,5,21,7,
1,2019,5,18,3,2,6,5,21,7,
1,2019,5,18,3,3,6,5,21,7,
1,2019,5,18,4,0,6,5,21,7,
1,2019,5,18,4,1,6,5,21,7,
1,2019,5,18,4,2,6,5,21,7,
1,2019,5,18,4,3,6,5,21,7,
1,2019,5,18,5,0,6,5,21,7,
1,2019,5,18,5,1,6,5,21,7,
1,2019,5,18,5,2,6,5,21,7,
1,2019,5,18,5,3,6,5,21,7,
1,2019,5,18,6,0,6,5,21,7,
1,2019,5,18,6,1,6,5,21,7,
1,2019,5,18,6,2,6,5,21,7,
1,2019,5,18,6,3,6,5,21,7,
1,2019,5,18,7,0,6,5,21,7,
1,2019,5,18,7,1,6,5,21,7,
1,2019,5,18,7,2,6,5,21,7,
1,2019,5,18,7,3,6,5,21,7,
1,2019,5,18,8,0,6,5,21,7,
1,2019,5,18,8,1,6,5,21,7,
1,2019,5,18,8,2,6,5,21,7,
1,2019,5,18,8,3,6,5,21,7,
1,2019,5,18,9,0,6,5,21,7,
1,2019,5,18,9,1,6,5,21,7,
1,2019,5,18,9,2,6,5,21,7,
1,2019,5,18,9,3,6,5,21,7,
1,2019,5,18,10,0,6,5,21,7,
1,2019,5,18,10,1,6,5,21,7,
1,2019,5,18,10,2,6,5,21,7,
1,2019,5,18,10,3,6,5,21,7,
1,2019,5,18,11,0,6,5,21,7,
1,2019,5,18,11,1,6,5,21,7,
1,2019,5,18,11,2,6,5,21,7,
1,2019,5,18,11,3,6,5,21,7,
1,2019,5,18,12,0,6,5,21,7,
1,2019,5,18,12,1,6,5,21,7,
1,2019,5,18,12,2,6,5,21,7,
1,2019,5,18,12,3,6,5,21,7,
1,2019,5,18,13,0,6,5,21,7,
1,2019,5,18,13,1,6,5,21,7,
1,2019,5,18,13,2,6,5,21,7,
1,2019,5,18,13,3,6,5,21,7,
1,2019,5,18,14,0,6,5,21,7,
1,2019,5,18,14,1,6,5,21,7,
1,2019,5,18,14,2,6,5,21,7,
1,2019,5,18,14,3,6,5,21,7,
1,2019,5,18,15,0,6,5,21,7,
1,2019,5,18,15,1,6,5,21,7,
1,2019,5,18,15,2,6,5,21,7,
1,2019,5,18,15,3,6,5,21,7,
1,2019,5,18,16,0,6,5,21,7,
1,2019,5,18,16,1,6,5,21,7,
1,2019,5,18,16,2,6,5,21,7,
1,2019,5,18,16,3,6,5,21,7,
1,2019,5,18,17,0,6,5,21,7,
1,2019,5,18,17,1,6,5,21,7,
1,2019,5,18,17,2,6,5,21,7,
1,2019,5,18,17,3,6,5,21,7,
1,2019,5,18,18,0,6,5,21,7,
1,2019,5,18,18,1,6,5,21,7,
1,2019,5,18,18,2,6,5,21,7,
1,2019,5,18,18,3,6,5,21,7,
1,2019,5,18,19,0,6,5,21,7,
1,2019,5,18,19,1,6,5,21,7,
1,2019,5,18,19,2,6,5,21,7,
1,2019,5,18,19,3,6,5,21,7,
1,2019,5,18,20,0,6,5,21,7,
1,2019,5,18,20,1,6,5,21,7,
1,2019,5,18,20,2,6,5,21,7,
1,2019,5,18,20,3,6,5,21,7,
1,2019,5,18,21,0,6,5,21,7,
1,2019,5,18,21,1,6,5,21,7,
1,2019,5,18,21,2,6,5,21,7,
1,2019,5,18,21,3,6,5,21,7,
1,2019,5,18,22,0,6,5,21,7,
1,2019,5,18,22,1,6,5,21,7,
1,2019,5,18,22,2,6,5,21,7,
1,2019,5,18,22,3,6,5,21,7,
1,2019,5,18,23,0,6,5,21,7,
1,2019,5,18,23,1,6,5,21,7,
1,2019,5,18,23,2,6,5,21,7,
