BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(Temp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2019,03,12,16,1,2,4,10.41,2,1.02,1.568
1,2019,03,12,16,2,2,4,10.41,2,1.02,1.568
1,2019,03,12,16,3,2,4,10.41,2,1.02,1.568
1,2019,03,12,17,0,2,4,10.41,2,1.02,1.568
1,2019,03,12,17,1,2,4,8.29,3,0.42,1.568
1,2019,03,12,17,2,2,4,8.29,3,0.42,1.568
1,2019,03,12,17,3,2,4,8.29,3,0.42,1.568
1,2019,03,12,18,0,2,4,8.29,3,0.42,1.568
1,2019,03,12,18,1,2,4,7.94,3,0,1.568
1,2019,03,12,18,2,2,4,7.94,3,0,1.568
1,2019,03,12,18,3,2,4,7.94,3,0,1.568
1,2019,03,12,19,0,2,4,7.94,3,0,1.568
1,2019,03,12,19,1,2,4,5.64,4,0,1.568
1,2019,03,12,19,2,2,4,5.64,4,0,1.568
1,2019,03,12,19,3,2,4,5.64,4,0,1.568
1,2019,03,12,20,0,2,4,5.64,4,0,1.568
1,2019,03,12,20,1,2,4,3.66,4,0,1.568
1,2019,03,12,20,2,2,4,3.66,4,0,1.568
1,2019,03,12,20,3,2,4,3.66,4,0,1.568
1,2019,03,12,21,0,2,4,3.66,4,0,1.568
1,2019,03,12,21,1,2,4,3.62,3,0,1.568
1,2019,03,12,21,2,2,4,3.62,3,0,1.568
1,2019,03,12,21,3,2,4,3.62,3,0,1.568
1,2019,03,12,22,0,2,4,3.62,3,0,1.568
1,2019,03,12,22,1,2,4,2.94,1,0,1.568
1,2019,03,12,22,2,2,4,2.94,1,0,1.568
1,2019,03,12,22,3,2,4,2.94,1,0,1.568
1,2019,03,12,23,0,2,4,2.94,1,0,1.568
1,2019,03,12,23,1,2,4,2.94,1,0,1.568
1,2019,03,12,23,2,2,4,2.94,1,0,1.568
1,2019,03,12,23,3,2,4,2.94,1,0,1.568
1,2019,03,13,00,0,2,4,2.94,1,0,1.568
1,2019,03,13,00,1,3,4,1.2,1,0,1.568
1,2019,03,13,00,2,3,4,1.2,1,0,1.568
1,2019,03,13,00,3,3,4,1.2,1,0,1.568
1,2019,03,13,01,0,3,4,1.2,1,0,1.568
1,2019,03,13,01,1,3,4,1.1,1,0,1.568
1,2019,03,13,01,2,3,4,1.1,1,0,1.568
1,2019,03,13,01,3,3,4,1.1,1,0,1.568
1,2019,03,13,02,0,3,4,1.1,1,0,1.568
1,2019,03,13,02,1,3,4,1.1,1,0,1.568
1,2019,03,13,02,2,3,4,1.1,1,0,1.568
1,2019,03,13,02,3,3,4,1.1,1,0,1.568
1,2019,03,13,03,0,3,4,1.1,1,0,1.568
1,2019,03,13,03,1,3,4,1.2,1,0,1.568
1,2019,03,13,03,2,3,4,1.2,1,0,1.568
1,2019,03,13,03,3,3,4,1.2,1,0,1.568
1,2019,03,13,04,0,3,4,1.2,1,0,1.568
1,2019,03,13,04,1,3,4,1.2,1,0,1.568
1,2019,03,13,04,2,3,4,1.2,1,0,1.568
1,2019,03,13,04,3,3,4,1.2,1,0,1.568
1,2019,03,13,05,0,3,4,1.2,1,0,1.568
1,2019,03,13,05,1,3,4,1.4,1,0,1.568
1,2019,03,13,05,2,3,4,1.4,1,0,1.568
1,2019,03,13,05,3,3,4,1.4,1,0,1.568
1,2019,03,13,06,0,3,4,1.4,1,0,1.568
1,2019,03,13,06,1,3,4,1.6,1,0,1.568
1,2019,03,13,06,2,3,4,1.6,1,0,1.568
1,2019,03,13,06,3,3,4,1.6,1,0,1.568
1,2019,03,13,07,0,3,4,1.6,1,0,1.568
1,2019,03,13,07,1,3,4,2.4,1,0.42,1.568
1,2019,03,13,07,2,3,4,2.4,1,0.42,1.568
1,2019,03,13,07,3,3,4,2.4,1,0.42,1.568
1,2019,03,13,08,0,3,4,2.4,1,0.42,1.568
1,2019,03,13,08,1,3,4,4.1,1,1.16,1.568
1,2019,03,13,08,2,3,4,4.1,1,1.16,1.568
1,2019,03,13,08,3,3,4,4.1,1,1.16,1.568
1,2019,03,13,09,0,3,4,4.1,1,1.16,1.568
1,2019,03,13,09,1,3,4,5.3,1,1.86,1.568
1,2019,03,13,09,2,3,4,5.3,1,1.86,1.568
1,2019,03,13,09,3,3,4,5.3,1,1.86,1.568
1,2019,03,13,10,0,3,4,5.3,1,1.86,1.568
1,2019,03,13,10,1,3,4,7.3,2,2.19,1.568
1,2019,03,13,10,2,3,4,7.3,2,2.19,1.568
1,2019,03,13,10,3,3,4,7.3,2,2.19,1.568
1,2019,03,13,11,0,3,4,7.3,2,2.19,1.568
1,2019,03,13,11,1,3,4,7.6,3,1.95,1.568
1,2019,03,13,11,2,3,4,7.6,3,1.95,1.568
1,2019,03,13,11,3,3,4,7.6,3,1.95,1.568
1,2019,03,13,12,0,3,4,7.6,3,1.95,1.568
1,2019,03,13,12,1,3,4,7.6,3,1.87,1.568
1,2019,03,13,12,2,3,4,7.6,3,1.87,1.568
1,2019,03,13,12,3,3,4,7.6,3,1.87,1.568
1,2019,03,13,13,0,3,4,7.6,3,1.87,1.568
1,2019,03,13,13,1,3,4,7.4,3,1.87,1.568
1,2019,03,13,13,2,3,4,7.4,3,1.87,1.568
1,2019,03,13,13,3,3,4,7.4,3,1.87,1.568
1,2019,03,13,14,0,3,4,7.4,3,1.87,1.568
1,2019,03,13,14,1,3,4,9.3,3,1.77,1.568
1,2019,03,13,14,2,3,4,9.3,3,1.77,1.568
1,2019,03,13,14,3,3,4,9.3,3,1.77,1.568
1,2019,03,13,15,0,3,4,9.3,3,1.77,1.568
1,2019,03,13,15,1,3,4,9.1,2,1.54,1.568
1,2019,03,13,15,2,3,4,9.1,2,1.54,1.568
1,2019,03,13,15,3,3,4,9.1,2,1.54,1.568
1,2019,03,13,16,0,3,4,9.1,2,1.54,1.568
1,2019,03,13,16,1,3,4,8.4,2,0.89,1.568
1,2019,03,13,16,2,3,4,8.4,2,0.89,1.568
1,2019,03,13,16,3,3,4,8.4,2,0.89,1.568
1,2019,03,13,17,0,3,4,8.4,2,0.89,1.568
1,2019,03,13,17,1,3,4,8,1,0.35,1.568
1,2019,03,13,17,2,3,4,8,1,0.35,1.568
1,2019,03,13,17,3,3,4,8,1,0.35,1.568
1,2019,03,13,18,0,3,4,8,1,0.35,1.568
1,2019,03,13,18,1,3,4,7.1,1,0.02,1.568
1,2019,03,13,18,2,3,4,7.1,1,0.02,1.568
1,2019,03,13,18,3,3,4,7.1,1,0.02,1.568
1,2019,03,13,19,0,3,4,7.1,1,0.02,1.568
1,2019,03,13,19,1,3,4,6.7,1,0,1.568
1,2019,03,13,19,2,3,4,6.7,1,0,1.568
1,2019,03,13,19,3,3,4,6.7,1,0,1.568
1,2019,03,13,20,0,3,4,6.7,1,0,1.568
1,2019,03,13,20,1,3,4,6.2,1,0,1.568
1,2019,03,13,20,2,3,4,6.2,1,0,1.568
1,2019,03,13,20,3,3,4,6.2,1,0,1.568
1,2019,03,13,21,0,3,4,6.2,1,0,1.568
1,2019,03,13,21,1,3,4,5.6,1,0,1.568
1,2019,03,13,21,2,3,4,5.6,1,0,1.568
1,2019,03,13,21,3,3,4,5.6,1,0,1.568
