Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2019,05,10,23,2,5,4,29.00,5,,0.00
1,2019,05,10,23,3,5,4,29.00,5,,0.00
1,2019,05,11,00,0,6,5,31.00,1,,0.00
1,2019,05,11,00,1,6,5,31.00,1,,0.00
1,2019,05,11,00,2,6,5,31.00,1,,0.00
1,2019,05,11,00,3,6,5,31.00,1,,0.00
1,2019,05,11,01,0,6,5,31.00,1,,0.00
1,2019,05,11,01,1,6,5,31.00,1,,0.00
1,2019,05,11,01,2,6,5,31.00,1,,0.00
1,2019,05,11,01,3,6,5,31.00,1,,0.00
1,2019,05,11,02,0,6,5,31.00,1,,0.00
1,2019,05,11,02,1,6,5,31.00,1,,0.00
1,2019,05,11,02,2,6,5,31.00,1,,0.00
1,2019,05,11,02,3,6,5,31.00,1,,0.00
1,2019,05,11,03,0,6,5,31.00,1,,0.00
1,2019,05,11,03,1,6,5,31.00,1,,0.00
1,2019,05,11,03,2,6,5,31.00,1,,0.00
1,2019,05,11,03,3,6,5,31.00,1,,0.00
1,2019,05,11,04,0,6,5,31.00,1,,0.00
1,2019,05,11,04,1,6,5,31.00,1,,0.00
1,2019,05,11,04,2,6,5,31.00,1,,0.00
1,2019,05,11,04,3,6,5,31.00,1,,0.00
1,2019,05,11,05,0,6,5,31.00,1,,0.00
1,2019,05,11,05,1,6,5,31.00,1,,0.00
1,2019,05,11,05,2,6,5,31.00,1,,0.00
1,2019,05,11,05,3,6,5,31.00,1,,0.00
1,2019,05,11,06,0,6,5,31.00,1,,0.00
1,2019,05,11,06,1,6,5,31.00,1,,1.00
1,2019,05,11,06,2,6,5,31.00,1,,0.00
1,2019,05,11,06,3,6,5,31.00,1,,1.00
1,2019,05,11,07,0,6,5,31.00,1,,2.00
1,2019,05,11,07,1,6,5,31.00,1,,1.00
1,2019,05,11,07,2,6,5,31.00,1,,2.00
1,2019,05,11,07,3,6,5,31.00,1,,3.00
1,2019,05,11,08,0,6,5,31.00,1,,3.00
1,2019,05,11,08,1,6,5,31.00,1,,3.00
1,2019,05,11,08,2,6,5,31.00,1,,4.00
1,2019,05,11,08,3,6,5,31.00,1,,5.00
1,2019,05,11,09,0,6,5,31.00,1,,5.00
1,2019,05,11,09,1,6,5,31.00,1,,7.00
1,2019,05,11,09,2,6,5,31.00,1,,6.00
1,2019,05,11,09,3,6,5,31.00,1,,5.00
