BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Humidity),P2(WindSpeed),P3(Temp),P4(CloudCover),P5(Rain),P6(SolarIrradiation),generation
1,2018,6,10,16,1,63,5.1,20.4,4,0,1.39,6.8
1,2018,6,10,16,2,63,5.1,20.4,4,0,1.39,5.6
1,2018,6,10,16,3,63,5.1,20.4,4,0,1.39,4.8
1,2018,6,10,17,0,63,5.1,20.4,4,0,1.39,4
1,2018,6,10,17,1,67,5.4,19.5,4,0,0.55,2.4
1,2018,6,10,17,2,67,5.4,19.5,4,0,0.55,1.2
1,2018,6,10,17,3,67,5.4,19.5,4,0,0.55,2.4
1,2018,6,10,18,0,67,5.4,19.5,4,0,0.55,1.6
1,2018,6,10,18,1,67,4.1,19.1,4,0,0.15,0.8
1,2018,6,10,18,2,67,4.1,19.1,4,0,0.15,0
1,2018,6,10,18,3,67,4.1,19.1,4,0,0.15,0
1,2018,6,10,19,0,67,4.1,19.1,4,0,0.15,0
1,2018,6,10,19,1,69,5.8,18.6,4,0,0,0
1,2018,6,10,19,2,69,5.8,18.6,4,0,0,0
1,2018,6,10,19,3,69,5.8,18.6,4,0,0,0
1,2018,6,10,20,0,69,5.8,18.6,4,0,0,0
1,2018,6,10,20,1,67,4.4,18.6,4,0,0,0
1,2018,6,10,20,2,67,4.4,18.6,4,0,0,0
1,2018,6,10,20,3,67,4.4,18.6,4,0,0,0
1,2018,6,10,21,0,67,4.4,18.6,4,0,0,0
1,2018,6,10,21,1,81,2.8,16.9,4,0.2,0,0
1,2018,6,10,21,2,81,2.8,16.9,4,0.2,0,0
1,2018,6,10,21,3,81,2.8,16.9,4,0.2,0,0
1,2018,6,10,22,0,81,2.8,16.9,4,0.2,0,0
1,2018,6,10,22,1,85,3.3,16.6,4,0,0,0
1,2018,6,10,22,2,85,3.3,16.6,4,0,0,0
1,2018,6,10,22,3,85,3.3,16.6,4,0,0,0
1,2018,6,10,23,0,85,3.3,16.6,4,0,0,0
