BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather)
1,2019,02,11,13,3,1,4,0.0,0
1,2019,02,11,14,0,1,4,0.0,0
1,2019,02,11,14,1,1,4,0.0,0
1,2019,02,11,14,2,1,4,0.0,0
1,2019,02,11,14,3,1,4,0.0,0
1,2019,02,11,15,0,1,4,3.0,1
1,2019,02,11,15,1,1,4,3.0,1
1,2019,02,11,15,2,1,4,3.0,1
1,2019,02,11,15,3,1,4,3.0,1
1,2019,02,11,16,0,1,4,3.0,1
1,2019,02,11,16,1,1,4,3.0,1
1,2019,02,11,16,2,1,4,3.0,1
1,2019,02,11,16,3,1,4,3.0,1
1,2019,02,11,17,0,1,4,3.0,1
1,2019,02,11,17,1,1,4,3.0,1
1,2019,02,11,17,2,1,4,3.0,1
1,2019,02,11,17,3,1,4,3.0,1
1,2019,02,11,18,0,1,4,0.0,1
1,2019,02,11,18,1,1,4,0.0,1
1,2019,02,11,18,2,1,4,0.0,1
1,2019,02,11,18,3,1,4,0.0,1
1,2019,02,11,19,0,1,4,0.0,1
1,2019,02,11,19,1,1,4,0.0,1
1,2019,02,11,19,2,1,4,0.0,1
1,2019,02,11,19,3,1,4,0.0,1
1,2019,02,11,20,0,1,4,0.0,1
1,2019,02,11,20,1,1,4,0.0,1
1,2019,02,11,20,2,1,4,0.0,1
1,2019,02,11,20,3,1,4,0.0,1
1,2019,02,11,21,0,1,4,-2.0,1
1,2019,02,11,21,1,1,4,-2.0,1
1,2019,02,11,21,2,1,4,-2.0,1
1,2019,02,11,21,3,1,4,-2.0,1
1,2019,02,11,22,0,1,4,-2.0,1
1,2019,02,11,22,1,1,4,-2.0,1
1,2019,02,11,22,2,1,4,-2.0,1
1,2019,02,11,22,3,1,4,-2.0,1
1,2019,02,11,23,0,1,4,-2.0,1
1,2019,02,11,23,1,1,4,-2.0,1
1,2019,02,11,23,2,1,4,-2.0,1
1,2019,02,11,23,3,1,4,-2.0,1
1,2019,02,12,00,0,2,4,-3.0,1
1,2019,02,12,00,1,2,4,-3.0,1
1,2019,02,12,00,2,2,4,-3.0,1
1,2019,02,12,00,3,2,4,-3.0,1
1,2019,02,12,01,0,2,4,-3.0,1
1,2019,02,12,01,1,2,4,-3.0,1
1,2019,02,12,01,2,2,4,-3.0,1
1,2019,02,12,01,3,2,4,-3.0,1
1,2019,02,12,02,0,2,4,-3.0,1
1,2019,02,12,02,1,2,4,-3.0,1
1,2019,02,12,02,2,2,4,-3.0,1
1,2019,02,12,02,3,2,4,-3.0,1
1,2019,02,12,03,0,2,4,-4.0,1
1,2019,02,12,03,1,2,4,-4.0,1
1,2019,02,12,03,2,2,4,-4.0,1
1,2019,02,12,03,3,2,4,-4.0,1
1,2019,02,12,04,0,2,4,-4.0,1
1,2019,02,12,04,1,2,4,-4.0,1
1,2019,02,12,04,2,2,4,-4.0,1
1,2019,02,12,04,3,2,4,-4.0,1
1,2019,02,12,05,0,2,4,-4.0,1
1,2019,02,12,05,1,2,4,-4.0,1
1,2019,02,12,05,2,2,4,-4.0,1
1,2019,02,12,05,3,2,4,-4.0,1
1,2019,02,12,06,0,2,4,-1.0,2
1,2019,02,12,06,1,2,4,-1.0,2
1,2019,02,12,06,2,2,4,-1.0,2
1,2019,02,12,06,3,2,4,-1.0,2
1,2019,02,12,07,0,2,4,-1.0,2
1,2019,02,12,07,1,2,4,-1.0,2
1,2019,02,12,07,2,2,4,-1.0,2
1,2019,02,12,07,3,2,4,-1.0,2
1,2019,02,12,08,0,2,4,-1.0,2
1,2019,02,12,08,1,2,4,-1.0,2
1,2019,02,12,08,2,2,4,-1.0,2
1,2019,02,12,08,3,2,4,-1.0,2
1,2019,02,12,09,0,2,4,4.0,2
1,2019,02,12,09,1,2,4,4.0,2
1,2019,02,12,09,2,2,4,4.0,2
1,2019,02,12,09,3,2,4,4.0,2
1,2019,02,12,10,0,2,4,4.0,2
1,2019,02,12,10,1,2,4,4.0,2
1,2019,02,12,10,2,2,4,4.0,2
1,2019,02,12,10,3,2,4,4.0,2
1,2019,02,12,11,0,2,4,4.0,2
1,2019,02,12,11,1,2,4,4.0,2
1,2019,02,12,11,2,2,4,4.0,2
1,2019,02,12,11,3,2,4,4.0,2
1,2019,02,12,12,0,2,4,7.0,2
1,2019,02,12,12,1,2,4,7.0,2
1,2019,02,12,12,2,2,4,7.0,2
1,2019,02,12,12,3,2,4,7.0,2
1,2019,02,12,13,0,2,4,7.0,2
1,2019,02,12,13,1,2,4,7.0,2
1,2019,02,12,13,2,2,4,7.0,2
