BuildingIndex,Year,Month,Day,time,Quarter,temp,rain,wind,huminity,cloud,Generation
1,2019,2,9,0,0,0.5,0,0.8,0.3,4,0
1,2019,2,9,0,1,0.4,0,0.875,0.3125,4,0
1,2019,2,9,0,2,0.3,0,0.95,0.325,4,0
1,2019,2,9,0,3,0.2,0,1.025,0.3375,4,0
1,2019,2,9,1,0,0.1,0,1.1,0.35,4,0
1,2019,2,9,1,1,0.125,0,0.85,0.355,4,0
1,2019,2,9,1,2,0.15,0,0.6,0.36,4,0
1,2019,2,9,1,3,0.175,0,0.35,0.365,4,0
1,2019,2,9,2,0,0.2,0,0.1,0.37,4,0
1,2019,2,9,2,1,0.15,0,0.125,0.37,4,0
1,2019,2,9,2,2,0.1,0,0.15,0.37,4,0
1,2019,2,9,2,3,0.05,0,0.175,0.37,4,0
1,2019,2,9,3,0,0,0,0.2,0.37,4,0
1,2019,2,9,3,1,0.2,0,0.775,0.33,4,0
1,2019,2,9,3,2,0.4,0,1.35,0.29,4,0
1,2019,2,9,3,3,0.6,0,1.925,0.25,4,0
1,2019,2,9,4,0,0.8,0,2.5,0.21,4,0
1,2019,2,9,4,1,0.75,0,2.4,0.21,4,0
1,2019,2,9,4,2,0.7,0,2.3,0.21,4,0
1,2019,2,9,4,3,0.65,0,2.2,0.21,4,0
1,2019,2,9,5,0,0.6,0,2.1,0.21,4,0
1,2019,2,9,5,1,0.55,0,2.125,0.21,4,0
1,2019,2,9,5,2,0.5,0,2.15,0.21,4,0
1,2019,2,9,5,3,0.45,0,2.175,0.21,4,0
1,2019,2,9,6,0,0.4,0,2.2,0.21,4,0
1,2019,2,9,6,1,0.275,0,2.55,0.2025,4,0
1,2019,2,9,6,2,0.15,0,2.9,0.195,4,0
1,2019,2,9,6,3,0.025,0,3.25,0.1875,4,0
1,2019,2,9,7,0,-0.1,0,3.6,0.18,4,0
1,2019,2,9,7,1,-0.25,0,3.4,0.18,4,0
1,2019,2,9,7,2,-0.4,0,3.2,0.18,4,0
1,2019,2,9,7,3,-0.55,0,3,0.18,4,0.4
1,2019,2,9,8,0,-0.7,0,2.8,0.18,4,0.8
1,2019,2,9,8,1,-0.775,0,3.2,0.185,4,2
1,2019,2,9,8,2,-0.85,0,3.6,0.19,4,2.4
1,2019,2,9,8,3,-0.925,0,4,0.195,4,3.2
1,2019,2,9,9,0,-1,0,4.4,0.2,3,4.4
1,2019,2,9,9,1,-1.05,0,4.275,0.2125,3,8
1,2019,2,9,9,2,-1.1,0,4.15,0.225,3,8.8
1,2019,2,9,9,3,-1.15,0,4.025,0.2375,3,10
1,2019,2,9,10,0,-1.2,0,3.9,0.25,2,11.2
1,2019,2,9,10,1,-1.175,0,4.325,0.2625,2,12.4
1,2019,2,9,10,2,-1.15,0,4.75,0.275,1,13.6
1,2019,2,9,10,3,-1.125,0,5.175,0.2875,0,14.4
1,2019,2,9,11,0,-1.1,0,5.6,0.3,0,14.8
1,2019,2,9,11,1,-0.825,0,5.55,0.2975,0,15.2
1,2019,2,9,11,2,-0.55,0,5.5,0.295,0,16
1,2019,2,9,11,3,-0.275,0,5.45,0.2925,0,16
1,2019,2,9,12,0,0,0,5.4,0.29,0,16.8
1,2019,2,9,12,1,0.25,0,5.225,0.285,0,17.6
1,2019,2,9,12,2,0.5,0,5.05,0.28,0,17.6
1,2019,2,9,12,3,0.75,0,4.875,0.275,0,17.2
1,2019,2,9,13,0,1,0,4.7,0.27,0,17.6
1,2019,2,9,13,1,1.075,0,5.075,0.25,0,17.6
1,2019,2,9,13,2,1.15,0,5.45,0.23,0,17.2
1,2019,2,9,13,3,1.225,0,5.825,0.21,0,16.4
1,2019,2,9,14,0,1.3,0,6.2,0.19,0,15.6
1,2019,2,9,14,1,1.5,0,5.8,0.185,0,14.8
1,2019,2,9,14,2,1.7,0,5.4,0.18,0,14
1,2019,2,9,14,3,1.9,0,5,0.175,0,13.2
1,2019,2,9,15,0,2.1,0,4.6,0.17,0,12
1,2019,2,9,15,1,2.075,0,4.9,0.17,0,0.8
1,2019,2,9,15,2,2.05,0,5.2,0.17,0,0
1,2019,2,9,15,3,2.025,0,5.5,0.17,0,0
1,2019,2,9,16,0,2,0,5.8,0.17,0,0
1,2019,2,9,16,1,2.075,0,5.525,0.17,0,0
1,2019,2,9,16,2,2.15,0,5.25,0.17,0,0
1,2019,2,9,16,3,2.225,0,4.975,0.17,0,0
1,2019,2,9,17,0,2.3,0,4.7,0.17,0,0
1,2019,2,9,17,1,2.2,0,4.75,0.1725,0,0
1,2019,2,9,17,2,2.1,0,4.8,0.175,0,0
1,2019,2,9,17,3,2,0,4.85,0.1775,0,0
1,2019,2,9,18,0,1.9,0,4.9,0.18,0,0
1,2019,2,9,18,1,1.65,0,4.525,0.185,0,0
1,2019,2,9,18,2,1.4,0,4.15,0.19,0,0
1,2019,2,9,18,3,1.15,0,3.775,0.195,0,0
1,2019,2,9,19,0,0.9,0,3.4,0.2,0,0
1,2019,2,9,19,1,0.675,0,3.3,0.205,0,0
1,2019,2,9,19,2,0.45,0,3.2,0.21,0,0
1,2019,2,9,19,3,0.225,0,3.1,0.215,0,0
1,2019,2,9,20,0,0,0,3,0.22,0,0
1,2019,2,9,20,1,-0.175,0,2.75,0.225,0,0
1,2019,2,9,20,2,-0.35,0,2.5,0.23,0,0
1,2019,2,9,20,3,-0.525,0,2.25,0.235,0,0
1,2019,2,9,21,0,-0.7,0,2,0.24,0,0
1,2019,2,9,21,1,-0.7,0,2.325,0.2425,0,0
1,2019,2,9,21,2,-0.7,0,2.65,0.245,1,0
1,2019,2,9,21,3,-0.7,0,2.975,0.2475,2,0
1,2019,2,9,22,0,-0.7,0,3.3,0.25,3,0
1,2019,2,9,22,1,-0.775,0,3.025,0.2525,4,0
1,2019,2,9,22,2,-0.85,0,2.75,0.255,4,0
1,2019,2,9,22,3,-0.925,0,2.475,0.2575,4,0
1,2019,2,9,23,0,-1,0,2.2,0.26,4,0
1,2019,2,9,23,1,-1.05,0,2.3,0.2625,4,0
1,2019,2,9,23,2,-1.1,0,2.4,0.265,4,0
1,2019,2,9,23,3,-1.15,0,2.5,0.2675,4,0
1,2019,2,10,0,0,-1.2,0,2.6,0.27,4,0
1,2019,2,10,0,1,-1.275,0,2.75,0.27,4,0
1,2019,2,10,0,2,-1.35,0,2.9,0.27,4,0
1,2019,2,10,0,3,-1.425,0,3.05,0.27,4,0
1,2019,2,10,1,0,-1.5,0,3.2,0.27,4,0
1,2019,2,10,1,1,-1.575,0,3.35,0.2725,4,0
1,2019,2,10,1,2,-1.65,0,3.5,0.275,4,0
1,2019,2,10,1,3,-1.725,0,3.65,0.2775,4,0
1,2019,2,10,2,0,-1.8,0,3.8,0.28,4,0
1,2019,2,10,2,1,-1.825,0,3.525,0.28,4,0
1,2019,2,10,2,2,-1.85,0,3.25,0.28,4,0
1,2019,2,10,2,3,-1.875,0,2.975,0.28,4,0
1,2019,2,10,3,0,-1.9,0,2.7,0.28,4,0
1,2019,2,10,3,1,-2,0,2.875,0.2775,4,0
1,2019,2,10,3,2,-2.1,0,3.05,0.275,4,0
1,2019,2,10,3,3,-2.2,0,3.225,0.2725,4,0
1,2019,2,10,4,0,-2.3,0,3.4,0.27,3,0
1,2019,2,10,4,1,-2.35,0,3.35,0.2725,3,0
1,2019,2,10,4,2,-2.4,0,3.3,0.275,3,0
1,2019,2,10,4,3,-2.45,0,3.25,0.2775,3,0
1,2019,2,10,5,0,-2.5,0,3.2,0.28,3,0
1,2019,2,10,5,1,-2.575,0,3.1,0.28,3,0
1,2019,2,10,5,2,-2.65,0,3,0.28,2,0
1,2019,2,10,5,3,-2.725,0,2.9,0.28,1,0
1,2019,2,10,6,0,-2.8,0,2.8,0.28,0,0
1,2019,2,10,6,1,-2.875,0,2.625,0.28,0,0
1,2019,2,10,6,2,-2.95,0,2.45,0.28,1,0
1,2019,2,10,6,3,-3.025,0,2.275,0.28,1,0
1,2019,2,10,7,0,-3.1,0,2.1,0.28,2,0
1,2019,2,10,7,1,-3.375,0,1.675,0.3125,2,0
1,2019,2,10,7,2,-3.65,0,1.25,0.345,1,0.8
1,2019,2,10,7,3,-3.925,0,0.825,0.3775,1,0.8
1,2019,2,10,8,0,-4.2,0,0.4,0.41,1,1.2
1,2019,2,10,8,1,-3.875,0,0.525,0.385,1,2
1,2019,2,10,8,2,-3.55,0,0.65,0.36,1,3.6
1,2019,2,10,8,3,-3.225,0,0.775,0.335,1,5.2
1,2019,2,10,9,0,-2.9,0,0.9,0.31,0,5.6
