BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Humidity),P2(WindSpeed),P3(Temp),P4(CloudCover),P5(Rain),P6(SolarIrradiation),Generation
1,2018,11,29,11,1,30,0.7,9.6,2,0,1.52,11.2
1,2018,11,29,11,2,30,0.7,9.6,2,0,1.52,10.8
1,2018,11,29,11,3,30,0.7,9.6,2,0,1.52,10.4
1,2018,11,29,12,0,30,0.7,9.6,2,0,1.52,8
1,2018,11,29,12,1,24,1.2,10.2,1,0,1.4,10
1,2018,11,29,12,2,24,1.2,10.2,1,0,1.4,10.8
1,2018,11,29,12,3,24,1.2,10.2,1,0,1.4,6.8
1,2018,11,29,13,0,24,1.2,10.2,1,0,1.4,9.2
1,2018,11,29,13,1,22,0.8,11.1,2,0,1.15,8.4
1,2018,11,29,13,2,22,0.8,11.1,2,0,1.15,8.8
1,2018,11,29,13,3,22,0.8,11.1,2,0,1.15,3.2
1,2018,11,29,14,0,22,0.8,11.1,2,0,1.15,6.4
1,2018,11,29,14,1,22,1.4,11.5,3,0,0.9,7.6
1,2018,11,29,14,2,22,1.4,11.5,3,0,0.9,6.8
1,2018,11,29,14,3,22,1.4,11.5,3,0,0.9,2.8
1,2018,11,29,15,0,22,1.4,11.5,3,0,0.9,2
1,2018,11,29,15,1,22,2.1,11.7,3,0,0.35,2.4
1,2018,11,29,15,2,22,2.1,11.7,3,0,0.35,1.6
1,2018,11,29,15,3,22,2.1,11.7,3,0,0.35,1.2
1,2018,11,29,16,0,22,2.1,11.7,3,0,0.35,0.8
1,2018,11,29,16,1,25,1.4,11.1,3,0,0.06,0.4
1,2018,11,29,16,2,25,1.4,11.1,3,0,0.06,0
1,2018,11,29,16,3,25,1.4,11.1,3,0,0.06,0
1,2018,11,29,17,0,25,1.4,11.1,3,0,0.06,0
1,2018,11,29,17,1,25,1.3,10.5,3,0,0,0
1,2018,11,29,17,2,25,1.3,10.5,3,0,0,0
1,2018,11,29,17,3,25,1.3,10.5,3,0,0,0
1,2018,11,29,18,0,25,1.3,10.5,3,0,0,0
1,2018,11,29,18,1,31,1.1,9.6,3,0,0,0
1,2018,11,29,18,2,31,1.1,9.6,3,0,0,0
1,2018,11,29,18,3,31,1.1,9.6,3,0,0,0
1,2018,11,29,19,0,31,1.1,9.6,3,0,0,0
1,2018,11,29,19,1,31,0.9,9.2,3,0,0,0
1,2018,11,29,19,2,31,0.9,9.2,3,0,0,0
1,2018,11,29,19,3,31,0.9,9.2,3,0,0,0
1,2018,11,29,20,0,31,0.9,9.2,3,0,0,0
1,2018,11,29,20,1,37,0.4,8.2,3,0,0,0
1,2018,11,29,20,2,37,0.4,8.2,3,0,0,0
1,2018,11,29,20,3,37,0.4,8.2,3,0,0,0
1,2018,11,29,21,0,37,0.4,8.2,3,0,0,0
1,2018,11,29,21,1,45,0.3,7.4,3,0,0,0
1,2018,11,29,21,2,45,0.3,7.4,3,0,0,0
1,2018,11,29,21,3,45,0.3,7.4,3,0,0,0
1,2018,11,29,22,0,45,0.3,7.4,3,0,0,0
1,2018,11,29,22,1,46,0.2,7,3,0,0,0
1,2018,11,29,22,2,46,0.2,7,3,0,0,0
1,2018,11,29,22,3,46,0.2,7,3,0,0,0
1,2018,11,29,23,0,46,0.2,7,3,0,0,0
1,2018,11,29,23,1,46,0.2,7,3,0,0,0
1,2018,11,29,23,2,46,0.2,7,3,0,0,0
1,2018,11,29,23,3,46,0.2,7,3,0,0,0
1,2018,11,30,0,0,46,0.2,7,3,0,0,0
1,2018,11,30,0,1,46,0.6,6,1,0,0,0
1,2018,11,30,0,2,46,0.6,6,1,0,0,0
1,2018,11,30,0,3,46,0.6,6,1,0,0,0
1,2018,11,30,1,0,46,0.6,6,1,0,0,0
1,2018,11,30,1,1,56,0.2,5.2,1,0,0,0
1,2018,11,30,1,2,56,0.2,5.2,1,0,0,0
1,2018,11,30,1,3,56,0.2,5.2,1,0,0,0
1,2018,11,30,2,0,56,0.2,5.2,1,0,0,0
1,2018,11,30,2,1,59,1.2,3.7,1,0,0,0
1,2018,11,30,2,2,59,1.2,3.7,1,0,0,0
1,2018,11,30,2,3,59,1.2,3.7,1,0,0,0
1,2018,11,30,3,0,59,1.2,3.7,1,0,0,0
1,2018,11,30,3,1,62,0.7,3.4,1,0,0,0
1,2018,11,30,3,2,62,0.7,3.4,1,0,0,0
1,2018,11,30,3,3,62,0.7,3.4,1,0,0,0
1,2018,11,30,4,0,62,0.7,3.4,1,0,0,0
1,2018,11,30,4,1,70,0.5,2.4,1,0,0,0
1,2018,11,30,4,2,70,0.5,2.4,1,0,0,0
1,2018,11,30,4,3,70,0.5,2.4,1,0,0,0
1,2018,11,30,5,0,70,0.5,2.4,1,0,0,0
1,2018,11,30,5,1,70,1,1.6,1,0,0,0
1,2018,11,30,5,2,70,1,1.6,1,0,0,0
1,2018,11,30,5,3,70,1,1.6,1,0,0,0
1,2018,11,30,6,0,70,1,1.6,1,0,0,0
1,2018,11,30,6,1,73,1,1.2,1,0,0,0
1,2018,11,30,6,2,73,1,1.2,1,0,0,0
1,2018,11,30,6,3,73,1,1.2,1,0,0,0
1,2018,11,30,7,0,73,1,1.2,1,0,0,0
1,2018,11,30,7,1,70,1,1.6,1,0,0.05,0
1,2018,11,30,7,2,70,1,1.6,1,0,0.05,0
1,2018,11,30,7,3,70,1,1.6,1,0,0.05,0.8
1,2018,11,30,8,0,70,1,1.6,1,0,0.05,1.6
1,2018,11,30,8,1,63,0.2,4.4,1,0,0.47,2.8
1,2018,11,30,8,2,63,0.2,4.4,1,0,0.47,4
1,2018,11,30,8,3,63,0.2,4.4,1,0,0.47,3.2
1,2018,11,30,9,0,63,0.2,4.4,1,0,0.47,2.4
1,2018,11,30,9,1,52,0.5,7.5,1,0,1.01,7.2
1,2018,11,30,9,2,52,0.5,7.5,1,0,1.01,8
1,2018,11,30,9,3,52,0.5,7.5,1,0,1.01,8.8
1,2018,11,30,10,0,52,0.5,7.5,1,0,1.01,10
1,2018,11,30,10,1,42,1.6,9.2,1,0,1.44,10
1,2018,11,30,10,2,42,1.6,9.2,1,0,1.44,11.2
1,2018,11,30,10,3,42,1.6,9.2,1,0,1.44,11.6
1,2018,11,30,11,0,42,1.6,9.2,1,0,1.44,12
1,2018,11,30,11,1,40,2.2,11.1,1,0,1.7,12.4
1,2018,11,30,11,2,40,2.2,11.1,1,0,1.7,12.8
1,2018,11,30,11,3,40,2.2,11.1,1,0,1.7,12.8
1,2018,11,30,12,0,40,2.2,11.1,1,0,1.7,13.2
1,2018,11,30,12,1,40,2.3,12.2,1,0,1.77,13.6
1,2018,11,30,12,2,40,2.3,12.2,1,0,1.77,13.6
1,2018,11,30,12,3,40,2.3,12.2,1,0,1.77,8.8
1,2018,11,30,13,0,40,2.3,12.2,1,0,1.77,12.4
1,2018,11,30,13,1,32,2.7,13.1,1,0,1.62,12.4
1,2018,11,30,13,2,32,2.7,13.1,1,0,1.62,12.4
1,2018,11,30,13,3,32,2.7,13.1,1,0,1.62,11.6
1,2018,11,30,14,0,32,2.7,13.1,1,0,1.62,10.4
1,2018,11,30,14,1,31,1.9,13.7,1,0,1.24,10
1,2018,11,30,14,2,31,1.9,13.7,1,0,1.24,8.8
1,2018,11,30,14,3,31,1.9,13.7,1,0,1.24,8
1,2018,11,30,15,0,31,1.9,13.7,1,0,1.24,7.2
1,2018,11,30,15,1,31,1.7,13.5,1,0,0.7,6.4
1,2018,11,30,15,2,31,1.7,13.5,1,0,0.7,5.2
1,2018,11,30,15,3,31,1.7,13.5,1,0,0.7,3.6
1,2018,11,30,16,0,31,1.7,13.5,1,0,0.7,2.8
1,2018,11,30,16,1,33,1.9,12,1,0,0.18,2
1,2018,11,30,16,2,33,1.9,12,1,0,0.18,1.2
1,2018,11,30,16,3,33,1.9,12,1,0,0.18,0
1,2018,11,30,17,0,33,1.9,12,1,0,0.18,0
1,2018,11,30,17,1,33,1.7,11,1,0,0,0
1,2018,11,30,17,2,33,1.7,11,1,0,0,0
1,2018,11,30,17,3,33,1.7,11,1,0,0,0
1,2018,11,30,18,0,33,1.7,11,1,0,0,0
1,2018,11,30,18,1,30,1.8,10.7,1,0,0,0
1,2018,11,30,18,2,30,1.8,10.7,1,0,0,0
1,2018,11,30,18,3,30,1.8,10.7,1,0,0,0
1,2018,11,30,19,0,30,1.8,10.7,1,0,0,0
1,2018,11,30,19,1,40,0.5,8,2,0,0,0
1,2018,11,30,19,2,40,0.5,8,2,0,0,0
1,2018,11,30,19,3,40,0.5,8,2,0,0,0
1,2018,11,30,20,0,40,0.5,8,2,0,0,0
1,2018,11,30,20,1,47,0.4,7.1,2,0,0,0
1,2018,11,30,20,2,47,0.4,7.1,2,0,0,0
1,2018,11,30,20,3,47,0.4,7.1,2,0,0,0
1,2018,11,30,21,0,47,0.4,7.1,2,0,0,0
1,2018,11,30,21,1,51,0.6,6,3,0,0,0
1,2018,11,30,21,2,51,0.6,6,3,0,0,0
1,2018,11,30,21,3,51,0.6,6,3,0,0,0
1,2018,11,30,22,0,51,0.6,6,3,0,0,0
1,2018,11,30,22,1,53,0.6,5,3,0,0,0
1,2018,11,30,22,2,53,0.6,5,3,0,0,0
1,2018,11,30,22,3,53,0.6,5,3,0,0,0
1,2018,11,30,23,0,53,0.6,5,3,0,0,0
1,2018,11,30,23,1,53,0.6,5,3,0,0,0
1,2018,11,30,23,2,53,0.6,5,3,0,0,0
1,2018,11,30,23,3,53,0.6,5,3,0,0,0
1,2018,12,1,0,0,53,0.6,5,3,0,0,0
1,2018,12,1,0,1,55,0.3,4.3,3,0,0,0
1,2018,12,1,0,2,55,0.3,4.3,3,0,0,0
1,2018,12,1,0,3,55,0.3,4.3,3,0,0,0
1,2018,12,1,1,0,55,0.3,4.3,3,0,0,0
1,2018,12,1,1,1,60,0.3,3.4,3,0,0,0
1,2018,12,1,1,2,60,0.3,3.4,3,0,0,0
1,2018,12,1,1,3,60,0.3,3.4,3,0,0,0
1,2018,12,1,2,0,60,0.3,3.4,3,0,0,0
1,2018,12,1,2,1,62,0.1,3.2,3,0,0,0
1,2018,12,1,2,2,62,0.1,3.2,3,0,0,0
1,2018,12,1,2,3,62,0.1,3.2,3,0,0,0
1,2018,12,1,3,0,62,0.1,3.2,3,0,0,0
1,2018,12,1,3,1,62,1.2,3.3,3,0,0,0
1,2018,12,1,3,2,62,1.2,3.3,3,0,0,0
1,2018,12,1,3,3,62,1.2,3.3,3,0,0,0
1,2018,12,1,4,0,62,1.2,3.3,3,0,0,0
1,2018,12,1,4,1,64,0.7,3.4,4,0,0,0
1,2018,12,1,4,2,64,0.7,3.4,4,0,0,0
1,2018,12,1,4,3,64,0.7,3.4,4,0,0,0
1,2018,12,1,5,0,64,0.7,3.4,4,0,0,0
1,2018,12,1,5,1,57,0.7,4.1,4,0,0,0
1,2018,12,1,5,2,57,0.7,4.1,4,0,0,0
1,2018,12,1,5,3,57,0.7,4.1,4,0,0,0
1,2018,12,1,6,0,57,0.7,4.1,4,0,0,0
1,2018,12,1,6,1,59,0.7,3.7,4,0,0,0
1,2018,12,1,6,2,59,0.7,3.7,4,0,0,0
1,2018,12,1,6,3,59,0.7,3.7,4,0,0,0
1,2018,12,1,7,0,59,0.7,3.7,4,0,0,0
1,2018,12,1,7,1,56,0.4,4,4,0,0,0
1,2018,12,1,7,2,56,0.4,4,4,0,0,0
1,2018,12,1,7,3,56,0.4,4,4,0,0,0.4
1,2018,12,1,8,0,56,0.4,4,4,0,0,0.4
1,2018,12,1,8,1,59,0.9,4.3,4,0,0.2,0.8
1,2018,12,1,8,2,59,0.9,4.3,4,0,0.2,1.2
1,2018,12,1,8,3,59,0.9,4.3,4,0,0.2,1.6
1,2018,12,1,9,0,59,0.9,4.3,4,0,0.2,1.6
1,2018,12,1,9,1,52,1.8,5.3,4,0,0.43,2.4
1,2018,12,1,9,2,52,1.8,5.3,4,0,0.43,2.4
1,2018,12,1,9,3,52,1.8,5.3,4,0,0.43,2.4
1,2018,12,1,10,0,52,1.8,5.3,4,0,0.43,2.8
1,2018,12,1,10,1,39,2.6,7.3,3,0,0.79,4
1,2018,12,1,10,2,39,2.6,7.3,3,0,0.79,4.8
1,2018,12,1,10,3,39,2.6,7.3,3,0,0.79,6.4
1,2018,12,1,11,0,39,2.6,7.3,3,0,0.79,7.6
1,2018,12,1,11,1,33,0.7,9.8,3,0,1.26,8.8
1,2018,12,1,11,2,33,0.7,9.8,3,0,1.26,7.6
1,2018,12,1,11,3,33,0.7,9.8,3,0,1.26,8.8
1,2018,12,1,12,0,33,0.7,9.8,3,0,1.26,10.8
1,2018,12,1,12,1,35,1.5,10.5,3,0,1.55,12.4
1,2018,12,1,12,2,35,1.5,10.5,3,0,1.55,8.4
1,2018,12,1,12,3,35,1.5,10.5,3,0,1.55,10
1,2018,12,1,13,0,35,1.5,10.5,3,0,1.55,12.8
1,2018,12,1,13,1,33,0.9,10.6,3,0,1.48,11.6
1,2018,12,1,13,2,33,0.9,10.6,3,0,1.48,8.8
1,2018,12,1,13,3,33,0.9,10.6,3,0,1.48,5.6
1,2018,12,1,14,0,33,0.9,10.6,3,0,1.48,4.8
1,2018,12,1,14,1,33,1.3,10.8,3,0,0.66,3.6
1,2018,12,1,14,2,33,1.3,10.8,3,0,0.66,2.8
1,2018,12,1,14,3,33,1.3,10.8,3,0,0.66,2.8
1,2018,12,1,15,0,33,1.3,10.8,3,0,0.66,3.6
1,2018,12,1,15,1,32,1.4,11,3,0,0.48,3.2
1,2018,12,1,15,2,32,1.4,11,3,0,0.48,2.4
1,2018,12,1,15,3,32,1.4,11,3,0,0.48,2
1,2018,12,1,16,0,32,1.4,11,3,0,0.48,1.6
1,2018,12,1,16,1,33,0.7,10.5,3,0,0.18,1.6
1,2018,12,1,16,2,33,0.7,10.5,3,0,0.18,0.8
1,2018,12,1,16,3,33,0.7,10.5,3,0,0.18,0.4
1,2018,12,1,17,0,33,0.7,10.5,3,0,0.18,0
1,2018,12,1,17,1,42,0.6,8.9,2,0,0,0
1,2018,12,1,17,2,42,0.6,8.9,2,0,0,0
1,2018,12,1,17,3,42,0.6,8.9,2,0,0,0
1,2018,12,1,18,0,42,0.6,8.9,2,0,0,0
1,2018,12,1,18,1,55,1.6,8.2,2,0,0,0
1,2018,12,1,18,2,55,1.6,8.2,2,0,0,0
1,2018,12,1,18,3,55,1.6,8.2,2,0,0,0
1,2018,12,1,19,0,55,1.6,8.2,2,0,0,0
1,2018,12,1,19,1,61,0.5,7.3,3,0,0,0
1,2018,12,1,19,2,61,0.5,7.3,3,0,0,0
1,2018,12,1,19,3,61,0.5,7.3,3,0,0,0
1,2018,12,1,20,0,61,0.5,7.3,3,0,0,0
1,2018,12,1,20,1,65,0.6,6,2,0,0,0
1,2018,12,1,20,2,65,0.6,6,2,0,0,0
1,2018,12,1,20,3,65,0.6,6,2,0,0,0
1,2018,12,1,21,0,65,0.6,6,2,0,0,0
1,2018,12,1,21,1,66,0.4,5.6,3,0,0,0
1,2018,12,1,21,2,66,0.4,5.6,3,0,0,0
1,2018,12,1,21,3,66,0.4,5.6,3,0,0,0
1,2018,12,1,22,0,66,0.4,5.6,3,0,0,0
