BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Humidity),P2(WindSpeed),P3(Temp),P4(CloudCover),P5(Rain),
1,2019,2,10,0,0,27,2.6,-1.2,4,0,0
1,2019,2,10,0,1,28,3.8,-1.8,4,0,0
1,2019,2,10,0,2,28,3.8,-1.8,4,0,0
1,2019,2,10,0,3,28,3.8,-1.8,4,0,0
1,2019,2,10,1,0,28,3.8,-1.8,4,0,0
1,2019,2,10,1,1,28,2.7,-1.9,4,0,0
1,2019,2,10,1,2,28,2.7,-1.9,4,0,0
1,2019,2,10,1,3,28,2.7,-1.9,4,0,0
1,2019,2,10,2,0,28,2.7,-1.9,4,0,0
1,2019,2,10,2,1,27,3.4,-2.3,3,0,0
1,2019,2,10,2,2,27,3.4,-2.3,3,0,0
1,2019,2,10,2,3,27,3.4,-2.3,3,0,0
1,2019,2,10,3,0,27,3.4,-2.3,3,0,0
1,2019,2,10,3,1,28,3.2,-2.5,3,0,0
1,2019,2,10,3,2,28,3.2,-2.5,3,0,0
1,2019,2,10,3,3,28,3.2,-2.5,3,0,0
1,2019,2,10,4,0,28,3.2,-2.5,3,0,0
1,2019,2,10,4,1,28,2.8,-2.8,1,0,0
1,2019,2,10,4,2,28,2.8,-2.8,1,0,0
1,2019,2,10,4,3,28,2.8,-2.8,1,0,0
1,2019,2,10,5,0,28,2.8,-2.8,1,0,0
1,2019,2,10,5,1,28,2.1,-3.1,2,0,0
1,2019,2,10,5,2,28,2.1,-3.1,2,0,0
1,2019,2,10,5,3,28,2.1,-3.1,2,0,0
1,2019,2,10,6,0,28,2.1,-3.1,2,0,0
1,2019,2,10,6,1,41,0.4,-4.2,2,0,0
1,2019,2,10,6,2,41,0.4,-4.2,2,0,0
1,2019,2,10,6,3,41,0.4,-4.2,2,0,0
1,2019,2,10,7,0,41,0.4,-4.2,2,0,0
1,2019,2,10,7,1,31,0.9,-2.9,1,0,0.08
1,2019,2,10,7,2,31,0.9,-2.9,1,0,0.08
1,2019,2,10,7,3,31,0.9,-2.9,1,0,0.08
1,2019,2,10,8,0,31,0.9,-2.9,1,0,0.08
1,2019,2,10,8,1,28,2.3,-2.2,1,0,0.5
1,2019,2,10,8,2,28,2.3,-2.2,1,0,0.5
1,2019,2,10,8,3,28,2.3,-2.2,1,0,0.5
1,2019,2,10,9,0,28,2.3,-2.2,1,0,0.5
1,2019,2,10,9,1,26,0.9,-1.3,3,0,0.91
1,2019,2,10,9,2,26,0.9,-1.3,3,0,0.91
1,2019,2,10,9,3,26,0.9,-1.3,3,0,0.91
1,2019,2,10,10,0,26,0.9,-1.3,3,0,0.91
1,2019,2,10,10,1,24,1,0.1,3,0,1.37
1,2019,2,10,10,2,24,1,0.1,3,0,1.37
1,2019,2,10,10,3,24,1,0.1,3,0,1.37
1,2019,2,10,11,0,24,1,0.1,3,0,1.37
1,2019,2,10,11,1,23,1,1.6,3,0,1.29
1,2019,2,10,11,2,23,1,1.6,3,0,1.29
1,2019,2,10,11,3,23,1,1.6,3,0,1.29
1,2019,2,10,12,0,23,1,1.6,3,0,1.29
1,2019,2,10,12,1,24,1.2,2.6,3,0,1.35
1,2019,2,10,12,2,24,1.2,2.6,3,0,1.35
