BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Humidity),P2(WindSpeed),P3(Temp),P4(CloudCover),P5(Rain),P6(SolarIrradiation),Generation
1,2019,2,11,0,0,32,2.1,2.6,4,0,0,0
1,2019,2,11,0,1,27,3.5,1.4,4,0,0,0
1,2019,2,11,0,2,27,3.5,1.4,4,0,0,0
1,2019,2,11,0,3,27,3.5,1.4,4,0,0,0
1,2019,2,11,1,0,27,3.5,1.4,4,0,0,0
1,2019,2,11,1,1,31,3.4,0.8,4,0,0,0
1,2019,2,11,1,2,31,3.4,0.8,4,0,0,0
1,2019,2,11,1,3,31,3.4,0.8,4,0,0,0
1,2019,2,11,2,0,31,3.4,0.8,4,0,0,0
1,2019,2,11,2,1,34,4.2,0.2,1,0,0,0
1,2019,2,11,2,2,34,4.2,0.2,1,0,0,0
1,2019,2,11,2,3,34,4.2,0.2,1,0,0,0
1,2019,2,11,3,0,34,4.2,0.2,1,0,0,0
1,2019,2,11,3,1,37,3.1,-0.5,1,0,0,0
1,2019,2,11,3,2,37,3.1,-0.5,1,0,0,0
1,2019,2,11,3,3,37,3.1,-0.5,1,0,0,0
1,2019,2,11,4,0,37,3.1,-0.5,1,0,0,0
1,2019,2,11,4,1,33,3.4,-1.2,2,0,0,0
1,2019,2,11,4,2,33,3.4,-1.2,2,0,0,0
1,2019,2,11,4,3,33,3.4,-1.2,2,0,0,0
1,2019,2,11,5,0,33,3.4,-1.2,2,0,0,0
1,2019,2,11,5,1,29,4.6,-1.8,1,0,0,0
1,2019,2,11,5,2,29,4.6,-1.8,1,0,0,0
1,2019,2,11,5,3,29,4.6,-1.8,1,0,0,0
1,2019,2,11,6,0,29,4.6,-1.8,1,0,0,0
1,2019,2,11,6,1,30,3.6,-2.7,1,0,0,0
1,2019,2,11,6,2,30,3.6,-2.7,1,0,0,0
1,2019,2,11,6,3,30,3.6,-2.7,1,0,0,0
1,2019,2,11,7,0,30,3.6,-2.7,1,0,0,0
1,2019,2,11,7,1,30,3.6,-2.7,1,0,0,0.4
1,2019,2,11,7,2,30,3.6,-2.7,1,0,0,0
1,2019,2,11,7,3,30,3.6,-2.7,1,0,0,0.8
1,2019,2,11,8,0,30,3.6,-2.7,1,0,0,2
1,2019,2,11,8,1,35,4.9,-2,1,0,0.61,3.2
1,2019,2,11,8,2,35,4.9,-2,1,0,0.61,4.8
1,2019,2,11,8,3,35,4.9,-2,1,0,0.61,6
