PV_ID,PV_ID_original,Season,Year,Month,Day,Time,Tempreature,Precipitation,Weather,Observed ,ForecastOpticalFlow
1,6,2,13,8,15,6.5,26.9,0,2,430.3112,277.5113227
1,6,2,13,8,15,7,27.7,0,1,574.1708,704.7246745
1,6,2,13,8,15,7.5,27.7,0,1,1279.2904,1213.329028
1,6,2,13,8,15,8,28.8,0,1,1700.31,1601.001589
1,6,2,13,8,15,8.5,28.8,0,1,1949.8218,1871.113088
1,6,2,13,8,15,9,30.5,0,1,2093.6702,2054.014124
1,6,2,13,8,15,9.5,30.5,0,1,2220.0178,2081.256552
1,6,2,13,8,15,10,32.1,0,1,2299.3182,2211.568677
1,6,2,13,8,15,10.5,32.1,0,1,2322.5202,2217.817115
1,6,2,13,8,15,11,32.6,0,1,2261.0588,2265.948198
1,6,2,13,8,15,11.5,32.6,0,1,2302.0998,2243.178786
1,6,2,13,8,15,12,33.3,0,1,2158.3562,2126.30185
1,6,2,13,8,15,12.5,33.3,0,1,2063.3586,1934.224368
1,6,2,13,8,15,13,33.7,0,1,1991.4,1719.559303
1,6,2,13,8,15,13.5,33.7,0,1,1785.9842,1797.735298
1,6,2,13,8,15,14,33.8,0,2,1595.412,1503.094369
1,6,2,13,8,15,14.5,33.8,0,2,1342.3728,1313.07093
1,6,2,13,8,15,15,33.2,0,1,1022.8,988.1855842
1,6,2,13,8,15,15.5,33.2,0,1,701.592,608.2043016
1,6,2,13,8,15,16,32.6,0,2,236.9104,424.8433446
1,6,2,13,8,15,16.5,32.6,0,2,117.555,132.6206346
1,6,2,13,8,15,17,31.3,0,3,117.585,63.54706254
1,6,2,13,8,16,6.5,28,0,1,389.8224,389.463914
1,6,2,13,8,16,7,28.7,0,2,658.813,670.7579516
1,6,2,13,8,16,7.5,28.7,0,2,1279.2904,1237.777224
1,6,2,13,8,16,8,29.2,0,1,1783.34,1583.626822
1,6,2,13,8,16,8.5,29.2,0,1,2012.2,1909.337201
1,6,2,13,8,16,9,30.3,0,2,1888.8312,1881.619811
1,6,2,13,8,16,9.5,30.3,0,2,1886.9712,2020.029463
1,6,2,13,8,16,10,31.1,0,1,2095.1406,1784.785729
1,6,2,13,8,16,10.5,31.1,0,1,2342.9406,1794.980487
1,6,2,13,8,16,11,31.8,0,1,2321.0596,2216.797674
1,6,2,13,8,16,11.5,31.8,0,1,2176.02,2300.914886
1,6,2,13,8,16,12,32.1,0,1,1969.792,1910.987688
1,6,2,13,8,16,12.5,32.1,0,1,1595.3124,2149.846286
1,6,2,13,8,16,13,32.4,0,1,1993.3914,1495.863748
1,6,2,13,8,16,13.5,32.4,0,1,1806.805,1655.092043
1,6,2,13,8,16,14,32.8,0,3,1638,1614.679335
1,6,2,13,8,16,14.5,32.8,0,3,1364.2,1365.8294
1,6,2,13,8,16,15,31.6,0,1,1022.8,953.8197087
1,6,2,13,8,16,15.5,31.6,0,1,595.944,615.5886355
1,6,2,13,8,16,16,30.9,0,3,330.5936,360.3322734
1,6,2,13,8,16,16.5,30.9,0,3,102.2976,188.5582207
1,6,2,13,8,16,17,30.4,0,3,117.585,70.71457179
1,6,2,13,8,17,6.5,27.5,0,3,450.5556,400.0330774
1,6,2,13,8,17,7,28.5,0,3,512.2162,812.8230169
1,6,2,13,8,17,7.5,28.5,0,3,533.1584,1105.021115
1,6,2,13,8,17,8,28.8,0,3,1214.765,879.5716265
1,6,2,13,8,17,8.5,28.8,0,3,1949.8218,1322.878111
1,6,2,13,8,17,9,30.7,0,3,1638.712,2124.255185
1,6,2,13,8,17,9.5,30.7,0,3,1678.8,1560.933355
1,6,2,13,8,17,10,30.9,0,3,2322.5202,1749.711823
1,6,2,13,8,17,10.5,30.9,0,3,2054.244,2299.934558
1,6,2,13,8,17,11,32.2,0,3,2238.4176,1989.689666
1,6,2,13,8,17,11.5,32.2,0,3,2312.31,2219.563639
1,6,2,13,8,17,12,31.7,0,3,2240.6384,2195.91284
1,6,2,13,8,17,12.5,31.7,0,3,1804.0654,2146.970857
1,6,2,13,8,17,13,32.2,0,3,1929.6998,1699.582837
1,6,2,13,8,17,13.5,32.2,0,3,1658.2512,1550.392529
1,6,2,13,8,17,14,32.1,0,3,1639.638,1476.985812
1,6,2,13,8,17,14.5,32.1,0,3,1365.5642,1366.221062
1,6,2,13,8,17,15,31.7,0,3,1023.8228,950.4547069
1,6,2,13,8,17,15.5,31.7,0,3,744.744,742.771351
1,6,2,13,8,17,16,30.6,0,3,369.7784,413.9114926
1,6,2,13,8,17,16.5,30.6,0,3,166.4704,205.4475166
1,6,2,13,8,17,17,30.6,0,3,117.585,182.6373154
1,6,2,13,8,18,6.5,27.7,0,2,311.6696,392.7227964
1,6,2,13,8,18,7,28.7,0,2,701.5176,616.6912475
1,6,2,13,8,18,7.5,28.7,0,2,1448.8,1318.689821
1,6,2,13,8,18,8,30,0,2,1806.805,1779.983909
1,6,2,13,8,18,8.5,30,0,2,2014.2122,1938.691054
1,6,2,13,8,18,9,30.5,0,2,2033.2966,1917.647174
1,6,2,13,8,18,9.5,30.5,0,2,1804.1504,2225.994295
1,6,2,13,8,18,10,31.3,0,2,1783.2928,1917.562535
1,6,2,13,8,18,10.5,31.3,0,2,2278.558,1740.796046
1,6,2,13,8,18,11,31.8,0,2,2363.5612,2327.382657
1,6,2,13,8,18,11.5,31.8,0,2,2136.886,2290.682975
1,6,2,13,8,18,12,32.2,0,2,2197.8124,2090.044081
1,6,2,13,8,18,12.5,32.2,0,2,1659.037,2125.962702
1,6,2,13,8,18,13,32.3,0,2,1804.9434,1594.160238
1,6,2,13,8,18,13.5,32.3,0,2,1826.3172,1749.582466
1,6,2,13,8,18,14,31.6,0,2,1617.0378,1550.864522
1,6,2,13,8,18,14.5,31.6,0,2,1086.4036,1347.316516
1,6,2,13,8,18,15,31.3,0,2,1065.4014,909.4581678
1,6,2,13,8,18,15.5,31.3,0,2,680.4406,718.7729265
1,6,2,13,8,18,16,30.8,0,2,369.972,338.6251716
1,6,2,13,8,18,16.5,30.8,0,2,149.8944,209.620913
1,6,2,13,8,18,17,30.3,0,2,109.947,123.2617445
1,6,2,13,8,19,6.5,28,0,1,330.9724,231.3794198
1,6,2,13,8,19,7,29.2,0,2,616.6566,564.370497
1,6,2,13,8,19,7.5,29.2,0,2,1364.7696,999.8242399
1,6,2,13,8,19,8,30.4,0,2,1586.2294,1677.628197
1,6,2,13,8,19,8.5,30.4,0,2,1991.798,1892.946051
1,6,2,13,8,19,9,31,0,2,2011.7346,2030.817487
1,6,2,13,8,19,9.5,31,0,2,2155.5792,2040.228024
1,6,2,13,8,19,10,32,0,2,2340.5718,2287.315255
1,6,2,13,8,19,10.5,32,0,2,2177.0264,2278.50459
1,6,2,13,8,19,11,33,0,1,1470.5656,1814.460004
1,6,2,13,8,19,11.5,33,0,1,850.032,1754.655251
1,6,2,13,8,19,12,33.1,0,2,1741.5348,1376.058543
1,6,2,13,8,19,12.5,33.1,0,2,1867.79,1500.044431
1,6,2,13,8,19,13,32.9,0,1,937.6852,1330.998163
1,6,2,13,8,19,13.5,32.9,0,1,937.4348,1068.960488
1,6,2,13,8,19,14,32.5,0,1,1742.2392,1038.473984
1,6,2,13,8,19,14.5,32.5,0,1,1364.7856,1225.916852
1,6,2,13,8,19,15,31.9,0,1,893.6718,1003.747875
1,6,2,13,8,19,15.5,31.9,0,1,680.4406,602.2744541
1,6,2,13,8,19,16,32.1,0,1,330.8238,393.6445466
1,6,2,13,8,19,16.5,32.1,0,1,133.5552,176.6803777
1,6,2,13,8,19,17,31.3,0,1,117.585,149.0800217
1,6,2,13,8,20,6.5,28.5,0,2,255.1736,341.1504981
1,6,2,13,8,20,7,29.6,0,1,595.6434,594.3494799
1,6,2,13,8,20,7.5,29.6,0,1,1257.5584,1307.262092
1,6,2,13,8,20,8,30.7,0,3,1848.4466,1425.809774
1,6,2,13,8,20,8.5,30.7,0,3,2055.4534,1969.192345
1,6,2,13,8,20,9,32.1,0,1,2158.3562,1999.975116
1,6,2,13,8,20,9.5,32.1,0,1,2175.7248,2148.930257
