ID,year,month,day,hour,term,Humidity,WindSpeed,Temp,CloudCover,Rain,SolarIrradiation,generation,forecast_generation
1,13,8,15,0.5,1,63,2,28.4,0,0,0,0,0
1,13,8,15,1,2,70,2.7,28.2,0,0,0,0,0
1,13,8,15,1.5,1,70,2.7,28.2,0,0,0,0,0
1,13,8,15,2,2,73,2.3,27.7,0,0,0,0,0
1,13,8,15,2.5,1,73,2.3,27.7,0,0,0,0,0
1,13,8,15,3,2,77,1.7,27.4,1,0,0,0,0
1,13,8,15,3.5,1,77,1.7,27.4,1,0,0,0,0
1,13,8,15,4,2,79,1.5,27,1,0,0,0,0
1,13,8,15,4.5,1,79,1.5,27,1,0,0,0,0
1,13,8,15,5,2,84,1.9,26.7,1,0,0,0,0
1,13,8,15,5.5,1,84,1.9,26.7,1,0,0,0,0
1,13,8,15,6,2,83,1,26.9,4,0,0.13,0,0
1,13,8,15,6.5,1,83,1,26.9,4,0,0.13,0,0
1,13,8,15,7,2,79,1.2,27.7,4,0,0.74,0.450118,0.262656185
1,13,8,15,7.5,1,79,1.2,27.7,4,0,0.74,0.7862826,0.757722686
1,13,8,15,8,2,73,1.5,28.8,4,0,1.43,1.2366,0.926236895
1,13,8,15,8.5,1,73,1.5,28.8,4,0,1.43,1.65828,1.687911338
1,13,8,15,9,2,65,1.9,30.5,0,0,2.11,1.8665406,2.00513894
1,13,8,15,9.5,1,65,1.9,30.5,0,0,2.11,2.0743456,2.002508199
1,13,8,15,10,2,55,2.8,32.1,0,0,2.67,2.2384176,1.77491404
1,13,8,15,10.5,1,55,2.8,32.1,0,0,2.67,2.3621876,2.315171028
1,13,8,15,11,2,65,2.8,32.6,0,0,3.01,2.3839816,1.83716624
1,13,8,15,11.5,1,65,2.8,32.6,0,0,3.01,2.4840096,2.52694712
1,13,8,15,12,2,57,4.3,33.3,1,0,3.12,2.4840096,2.22248176
1,13,8,15,12.5,1,57,4.3,33.3,1,0,3.12,2.443904,2.465042768
1,13,8,15,13,2,49,3.4,33.7,1,0,3.11,2.339548,1.9271246
1,13,8,15,13.5,1,49,3.4,33.7,1,0,3.11,2.2181112,2.2598748
1,13,8,15,14,2,42,4.7,33.8,1,0,2.86,2.032595,1.8732835
1,13,8,15,14.5,1,42,4.7,33.8,1,0,2.86,1.8262874,1.724894287
1,13,8,15,15,2,49,5.1,33.2,1,0,2.43,1.553815,1.5554948
1,13,8,15,15.5,1,49,5.1,33.2,1,0,2.43,1.2581488,1.404818672
1,13,8,15,16,2,54,3.6,32.6,1,0,1.81,0.7653986,1.01099444
1,13,8,15,16.5,1,54,3.6,32.6,1,0,1.81,0.1836864,0.398480219
1,13,8,15,17,2,63,4.1,31.3,1,0,0.6,0.0731068,0.32855056
1,13,8,15,17.5,1,63,4.1,31.3,1,0,0.6,0.0591192,0.050899979
1,13,8,15,18,2,58,5,30.9,8,0,0.17,0.04599,0.026659381
