use_data1,use_data2,use_data3,use_data4,use_data5,use_data6,use_data7,use_data8,use_data9,use_data10,use_data11
1,14,4,2,22,6.5,0.3,0,1,33.4334,33.40926182
1,14,4,2,22,7,0.8,0,1,201.201,201.2056833
1,14,4,2,22,7.5,0.8,0,1,722.8,568.318644816
1,14,4,2,22,8,2.1,0,1,1300.024,1099.32840339
1,14,4,2,22,8.5,2.1,0,1,1866.8064,1746.21834176
1,14,4,2,22,9,3.8,0,1,2319.5346,2342.53473996
1,14,4,2,22,9.5,3.8,0,1,2667.5928,2730.56244636
1,14,4,2,22,10,5.8,0,1,2949.126,2979.4741815
1,14,4,2,22,10.5,5.8,0,1,3191.7816,3224.769817864
1,14,4,2,22,11,6.6,0,1,3293.4104,3318.656133888
1,14,4,2,22,11.5,6.6,0,1,3393.9776,3369.788914016
1,14,4,2,22,12,8.4,0,1,3413.952,3424.988560014
1,14,4,2,22,12.5,8.4,0,1,3393.9776,3411.66578832
1,14,4,2,22,13,8.6,0,1,3314.1472,3331.645461144
1,14,4,2,22,13.5,8.6,0,1,3171.9654,3222.845568054
1,14,4,2,22,14,8.5,0,1,2991.442,3081.4851873
1,14,4,2,22,14.5,8.5,0,1,2727.1506,2763.39881289
1,14,4,2,22,15,8.4,0,1,2381.73,2388.003183684
1,14,4,2,22,15.5,8.4,0,1,1929.4,1935.93468486
1,14,4,2,22,16,7.6,0,1,1365.5642,1324.11782591
1,14,4,2,22,16.5,7.6,0,1,702.1014,703.53927
1,14,4,2,22,17,6.7,0,1,166.5664,147.6579104
1,14,4,2,23,6.5,0.8,0,1,46,45.99994526
1,14,4,2,23,7,0.4,0,1,218.6,204.270151362
1,14,4,2,23,7.5,0.4,0,1,722.8,709.729152236
1,14,4,2,23,8,1.7,0,1,1300.024,1209.19682942
1,14,4,2,23,8.5,1.7,0,1,1826.7216,1904.930805136
1,14,4,2,23,9,3.4,0,1,2279.7444,2323.472144568
1,14,4,2,23,9.5,3.4,0,1,2645.772,2667.666881616
1,14,4,2,23,10,5.7,0,1,2868.369,2936.86711731
1,14,4,2,23,10.5,5.7,0,1,3133.2168,3126.932504136
1,14,4,2,23,11,7.5,0,1,3262.9472,3296.420265704
1,14,4,2,23,11.5,7.5,0,1,3314.968,3332.227234896
1,14,4,2,23,12,8.5,0,1,3314.3784,3304.056636186
1,14,4,2,23,12.5,8.5,0,1,3273.7456,3222.989592496
1,14,4,2,23,13,10,0,1,3203.452,3216.808784728
1,14,4,2,23,13.5,10,0,1,3091.1304,3106.134766362
1,14,4,2,23,14,10.1,0,1,2850.484,2908.680201796
1,14,4,2,23,14.5,10.1,0,1,2626.041,2647.312746594
1,14,4,2,23,15,10.8,0,1,2279.1324,2323.739906668
1,14,4,2,23,15.5,10.8,0,1,1867.6592,1879.720631866
1,14,4,2,23,16,9.8,0,1,1322.016,1396.68543264
1,14,4,2,23,16.5,9.8,0,1,701.592,703.1231892
1,14,4,2,23,17,8.3,0,1,183.513,140.6559207
1,14,4,2,24,6.5,-0.1,0,1,46,45.65682344
1,14,4,2,24,7,0,0,1,218.6,196.638259188
1,14,4,2,24,7.5,0,0,1,616.5484,701.292955896
1,14,4,2,24,8,1.5,0,1,1193.927,1232.42794941
1,14,4,2,24,8.5,1.5,0,1,1763.7312,1766.53484544
1,14,4,2,24,9,3.7,0,1,2136.9678,2256.668448006
1,14,4,2,24,9.5,3.7,0,1,2484.8436,2572.935178812
1,14,4,2,24,10,5.7,0,1,2685.918,2798.81990511
1,14,4,2,24,10.5,5.7,0,1,2931.4936,2981.935364632
1,14,4,2,24,11,7.1,0,1,3032.7808,3088.50662404
1,14,4,2,24,11.5,7.1,0,1,3153.5136,3071.566938352
1,14,4,2,24,12,8.8,0,1,3111.675,3266.999894202
1,14,4,2,24,12.5,8.8,0,1,3081.3744,3109.301236272
1,14,4,2,24,13,10.1,0,1,2951.872,2996.88117148
1,14,4,2,24,13.5,10.1,0,1,2868.0258,2940.377199084
1,14,4,2,24,14,11.9,0,1,2646.878,2807.49603874
1,14,4,2,24,14.5,11.9,0,1,2362.0326,2408.23140183
1,14,4,2,24,15,11.4,0,1,1990.882,2133.704528044
1,14,4,2,24,15.5,11.4,0,1,1555.0964,1606.361850698
1,14,4,2,24,16,10.6,0,1,980.2608,1232.970655968
1,14,4,2,24,16.5,10.6,0,1,470.952,517.78544592
1,14,4,2,24,17,9.4,0,1,149.745,183.14409264
1,14,4,2,25,6.5,3.3,0,2,33.396,46.0384238
1,14,4,2,25,7,3.4,0,1,183.624,217.495691822
1,14,4,2,25,7.5,3.4,0,1,166.244,511.556633172
1,14,4,2,25,8,4.9,0,2,511.683,374.85623951
1,14,4,2,25,8.5,4.9,0,2,1109.0128,1221.886939328
1,14,4,2,25,9,7,0,1,1722.6816,1479.606521634
1,14,4,2,25,9.5,7,0,1,1805.6712,2333.091064608
1,14,4,2,25,10,8.4,0,2,1214.346,2177.07215094
1,14,4,2,25,10.5,8.4,0,2,2596.3728,1810.316997944
1,14,4,2,25,11,10.7,0,2,2667.2224,2722.870001312
1,14,4,2,25,11.5,10.7,0,2,2095.472,2993.396420304
1,14,4,2,25,12,11.5,0,2,2564.0202,2188.60656861
1,14,4,2,25,12.5,11.5,0,2,2971.448,2868.228931056
1,14,4,2,25,13,12.1,0,2,2888.1384,2652.895971656
1,14,4,2,25,13.5,12.1,0,2,2525.2854,2785.538144592
1,14,4,2,25,14,12,0,1,2217.7392,2543.882526644
1,14,4,2,25,14.5,12,0,1,1575.6246,2051.203124754
1,14,4,2,25,15,12.3,0,2,1534.0784,1467.146559408
1,14,4,2,25,15.5,12.3,0,2,1151.8518,1450.861954168
1,14,4,2,25,16,11.7,0,1,659.6016,1259.948417664
1,14,4,2,25,16.5,11.7,0,1,255.192,585.52750896
1,14,4,2,25,17,11.1,0,1,133.665,66.95173923
1,14,4,2,26,6.5,2.5,0,1,46.046,46.0435344
