number,ID,year,month,day,time,Temp,Rain,CloudCover,generation,opticalflow
1,10000268,3,9,1,6.5,21.7,0,4,450.179,NaN
1,10000268,3,9,1,7,21.9,0,4,680.58,NaN
1,10000268,3,9,1,7.5,21.9,0,4,1237.1432,NaN
1,10000268,3,9,1,8,23,0,4,1342.9236,NaN
1,10000268,3,9,1,8.5,23,0,4,1364.3152,NaN
1,10000268,3,9,1,9,24.7,0,4,2155.944,NaN
1,10000268,3,9,1,9.5,24.7,0,4,2728.5654,NaN
1,10000268,3,9,1,10,25.6,0,4,2361.5162,NaN
1,10000268,3,9,1,10.5,25.6,0,4,1990.4032,NaN
1,10000268,3,9,1,11,27.3,0,4,2482.53,NaN
1,10000268,3,9,1,11.5,27.3,0,4,2829.2284,NaN
1,10000268,3,9,1,12,27.6,0,4,2547.1446,NaN
1,10000268,3,9,1,12.5,27.6,0,4,2105.7072,NaN
1,10000268,3,9,1,13,26.5,0,4,1364.58,NaN
1,10000268,3,9,1,13.5,26.5,0,4,785.928,NaN
1,10000268,3,9,1,14,26.4,0,4,596.5882,NaN
1,10000268,3,9,1,14.5,26.4,0,4,596.3412,NaN
1,10000268,3,9,1,15,27.1,0,4,330.876,NaN
1,10000268,3,9,1,15.5,27.1,0,4,210.144,NaN
1,10000268,3,9,1,16,26.2,0,4,218.5152,NaN
1,10000268,3,9,1,16.5,26.2,0,4,133.4144,NaN
1,10000268,3,9,1,17,25.4,0,4,117.6876,NaN
1,10000268,3,9,2,6.5,19.1,0.5,10,117.438,NaN
1,10000268,3,9,2,7,19.5,0,10,117.012,NaN
1,10000268,3,9,2,7.5,19.5,0,10,118.1192,NaN
1,10000268,3,9,2,8,19.9,0,10,166.3254,NaN
1,10000268,3,9,2,8.5,19.9,0,10,219.1036,NaN
1,10000268,3,9,2,9,20.4,0,4,533.352,NaN
1,10000268,3,9,2,9.5,20.4,0,4,379.1964,NaN
1,10000268,3,9,2,10,20.8,0,4,238.1602,NaN
1,10000268,3,9,2,10.5,20.8,0,4,117.4368,NaN
1,10000268,3,9,2,11,20.8,0,4,149.55,NaN
1,10000268,3,9,2,11.5,20.8,0,4,149.937,NaN
1,10000268,3,9,2,12,20.9,0.5,10,132.32,NaN
1,10000268,3,9,2,12.5,20.9,0.5,10,166.3836,NaN
1,10000268,3,9,2,13,20.4,23.5,10,117.99,NaN
1,10000268,3,9,2,13.5,20.4,23.5,10,116.6984,NaN
1,10000268,3,9,2,14,21,4.5,10,73.1874,NaN
1,10000268,3,9,2,14.5,21,4.5,10,116.8908,NaN
1,10000268,3,9,2,15,21.2,1,10,117.936,NaN
1,10000268,3,9,2,15.5,21.2,1,10,109.848,NaN
1,10000268,3,9,2,16,20.7,3,10,133.607,NaN
1,10000268,3,9,2,16.5,20.7,3,10,117.3332,NaN
1,10000268,3,9,2,17,20.8,0,10,102.4488,NaN
1,10000268,3,9,6,6.5,16,0,4,765.049,NaN
1,10000268,3,9,6,7,16.3,0,4,648.342,NaN
1,10000268,3,9,6,7.5,16.3,0,4,1342.8288,NaN
1,10000268,3,9,6,8,17.7,0,4,1784.695,NaN
1,10000268,3,9,6,8.5,17.7,0,4,2114.2368,NaN
1,10000268,3,9,6,9,20.3,0,2,1867.984,NaN
1,10000268,3,9,6,9.5,20.3,0,2,2052.6066,NaN
1,10000268,3,9,6,10,22.4,0,2,2768.971,NaN
1,10000268,3,9,6,10.5,22.4,0,2,2484.24,NaN
1,10000268,3,9,6,11,23.1,0,2,2647.035,NaN
1,10000268,3,9,6,11.5,23.1,0,2,2421.624,NaN
1,10000268,3,9,6,12,23.7,0,2,1741.3312,NaN
1,10000268,3,9,6,12.5,23.7,0,2,1680.5472,NaN
1,10000268,3,9,6,13,25.2,0,2,2362.365,NaN
1,10000268,3,9,6,13.5,25.2,0,2,2033.8864,NaN
1,10000268,3,9,6,14,24.8,0,2,1532.4998,NaN
1,10000268,3,9,6,14.5,24.8,0,2,1365.0468,NaN
1,10000268,3,9,6,15,25.1,0,2,1490.58,NaN
1,10000268,3,9,6,15.5,25.1,0,2,808.338,NaN
1,10000268,3,9,6,16,24.4,0,2,311.466,NaN
1,10000268,3,9,6,16.5,24.4,0,2,133.4144,NaN
