number,ID,year,month,day,time,Temp,Rain,CloudCover,generation,opticalflow
1,10000268,1,3,1,6.5,-2.5,0,2,73.073,72.84760155
1,10000268,1,3,1,7,-2.1,0,2,166.5664,166.56638336
1,10000268,1,3,1,7.5,-2.1,0,2,410.112,472.78643712
1,10000268,1,3,1,8,-0.5,0,2,470.6394,525.186274998
1,10000268,1,3,1,8.5,-0.5,0,2,819.0448,790.588789704
1,10000268,1,3,1,9,1.6,0,2,615.888,1075.08940812
1,10000268,1,3,1,9.5,1.6,0,2,701.1906,837.345596142
1,10000268,1,3,1,10,3.1,0,2,1321.26,791.81669605
1,10000268,1,3,1,10.5,3.1,0,2,1721.7294,1281.940062354
1,10000268,1,3,1,11,4.1,0,2,1741.825,1648.96682915
1,10000268,1,3,1,11.5,4.1,0,2,1762.7896,1659.413212578
1,10000268,1,3,1,12,5.2,0,3,1659.306,1673.625792938
1,10000268,1,3,1,12.5,5.2,0,3,1678.9322,1561.372796412
1,10000268,1,3,1,13,5.6,0,3,1322.0922,1478.133925026
1,10000268,1,3,1,13.5,5.6,0,3,1299.6,1290.69115175
1,10000268,1,3,1,14,6.4,0,3,1470.6756,1262.623337394
1,10000268,1,3,1,14.5,6.4,0,3,1043.558,1209.428060674
1,10000268,1,3,1,15,6.1,0,3,491.5892,686.531610512
1,10000268,1,3,1,15.5,6.1,0,3,390.0096,264.466772496
1,10000268,1,3,1,16,6.4,0,3,218.8186,160.453890852
1,10000268,1,3,1,16.5,6.4,0,3,125.7256,124.936986488
1,10000268,1,3,1,17,5,0,3,33.4334,33.43091838
1,10000268,1,3,3,6.5,-3.9,0,1,102.4296,NaN
1,10000268,1,3,3,7,-3.6,0,1,192.157,NaN
1,10000268,1,3,3,7.5,-3.6,0,1,410.112,332.36028928
1,10000268,1,3,3,8,-1.7,0,1,702.1014,559.332601338
1,10000268,1,3,3,8.5,-1.7,0,1,1216.4152,1215.97274568
1,10000268,1,3,3,9,0,0,2,1639.638,1591.93410012
1,10000268,1,3,3,9.5,0,0,2,1470.1808,1752.912304484
1,10000268,1,3,3,10,1.4,0,2,1783.34,1486.3350476
1,10000268,1,3,3,10.5,1.4,0,2,1814.8452,1768.567231656
1,10000268,1,3,3,11,1.5,0,2,1806.805,1749.96203025
1,10000268,1,3,3,11.5,1.5,0,2,1300.6818,1780.37833281
1,10000268,1,3,3,12,1.7,0,12,1470.1808,1277.797989798
1,10000268,1,3,3,12.5,1.7,0,12,1236.4506,1465.575672748
1,10000268,1,3,3,13,1.4,0,12,1721.753,1225.655280058
1,10000268,1,3,3,13.5,1.4,0,12,1700.31,1703.73228
1,10000268,1,3,3,14,1.4,0,12,1680.5202,1626.954932358
1,10000268,1,3,3,14.5,1.4,0,12,1386.0214,1363.351381176
1,10000268,1,3,3,15,1.1,0,2,743.8916,914.638640868
1,10000268,1,3,3,15.5,1.1,0,2,533.3328,378.620930736
1,10000268,1,3,3,16,0.2,0,2,254.9728,289.326206404
1,10000268,1,3,3,16.5,0.2,0,2,125.632,142.153579776
1,10000268,1,3,3,17,-1.2,0,2,33.434,54.65897411
1,10000268,1,3,4,6.5,-1.5,0,2,117.7176,117.63717336
1,10000268,1,3,4,7,-1.1,0,2,283.283,259.02054119
1,10000268,1,3,4,7.5,-1.1,0,2,512.512,510.37072896
1,10000268,1,3,4,8,-0.2,0,2,1043.613,1365.53650674
1,10000268,1,3,4,8.5,-0.2,0,2,1386.7854,1072.15267833
1,10000268,1,3,4,9,1,0,1,1681.4798,1680.97065262
1,10000268,1,3,4,9.5,1,0,1,1784.2,1785.2937146
1,10000268,1,3,4,10,1.7,0,1,1783.34,1802.79221425
1,10000268,1,3,4,10.5,1.7,0,1,1827.6258,1785.975175692
1,10000268,1,3,4,11,3,0,1,1805.7162,1795.304082534
1,10000268,1,3,4,11.5,3,0,1,1785.9842,1741.864270454
1,10000268,1,3,4,12,4.3,0,1,1785.9842,1782.534823982
1,10000268,1,3,4,12.5,4.3,0,1,1721.753,1778.909686422
1,10000268,1,3,4,13,4.5,0,1,1784.2,1716.504222598
1,10000268,1,3,4,13.5,4.5,0,1,1783.34,1767.11689465
1,10000268,1,3,4,14,4.5,0,1,1617.0378,1714.868392926
1,10000268,1,3,4,14.5,4.5,0,1,1300.773,1331.074382102
1,10000268,1,3,4,15,4.8,0,4,873.0464,862.029916064
1,10000268,1,3,4,15.5,4.8,0,4,512.2376,468.91750864
1,10000268,1,3,4,16,4.6,0,4,245.9084,269.86971742
1,10000268,1,3,4,16.5,4.6,0,4,133.6192,136.637228416
1,10000268,1,3,4,17,4.1,0,4,45.99,58.6504484
1,10000268,1,3,14,6.5,-1.4,0,2,117.552,NaN
1,10000268,1,3,14,7,-1,0,2,166.53,219.8638377
1,10000268,1,3,14,7.5,-1,0,2,218.788,280.23028017
1,10000268,1,3,14,8,-0.4,0,2,596.1554,484.008378686
1,10000268,1,3,14,8.5,-0.4,0,2,851.256,669.1418748
1,10000268,1,3,14,9,1.2,0,2,1257.861,997.818417552
1,10000268,1,3,14,9.5,1.2,0,2,1721.753,1246.563873808
1,10000268,1,3,14,10,2.5,0,2,1064.95,1678.69691195
1,10000268,1,3,14,10.5,2.5,0,2,1043.9456,1097.380011864
1,10000268,1,3,14,11,3.3,0,2,894.642,1016.140992996
