number,ID,year,month,day,time,Temp,Rain,CloudCover,generation,opticalflow
1,10000268,2,8,15,6.5,22.7,0,4,183.3564,NaN
1,10000268,2,8,15,7,23.3,0,4,273.5392,NaN
1,10000268,2,8,15,7.5,23.3,0,4,370.7744,NaN
1,10000268,2,8,15,8,24.5,0,4,532.5144,NaN
1,10000268,2,8,15,8.5,24.5,0,4,743.889,NaN
1,10000268,2,8,15,9,25.7,0,1,1237.03,NaN
1,10000268,2,8,15,9.5,25.7,0,1,1990.508,NaN
1,10000268,2,8,15,10,27.3,0,1,2310.084,NaN
1,10000268,2,8,15,10.5,27.3,0,1,2626.6788,NaN
1,10000268,2,8,15,11,29.3,0,1,2637.18,2786.687184
1,10000268,2,8,15,11.5,29.3,0,1,2646.9068,NaN
1,10000268,2,8,15,12,30.3,0,1,2547.1446,NaN
1,10000268,2,8,15,12.5,30.3,0,1,2483.8248,NaN
1,10000268,2,8,15,13,32.1,0,1,2259.8352,NaN
1,10000268,2,8,15,13.5,32.1,0,1,2155.3,NaN
1,10000268,2,8,15,14,32.9,0,1,1991.5844,NaN
1,10000268,2,8,15,14.5,32.9,0,1,1824.9608,NaN
1,10000268,2,8,15,15,33.3,0,2,1172.808,NaN
1,10000268,2,8,15,15.5,33.3,0,2,1076.6768,NaN
1,10000268,2,8,15,16,32.6,0,2,743.7364,NaN
1,10000268,2,8,15,16.5,32.6,0,2,450.0552,NaN
1,10000268,2,8,15,17,31.6,0,2,201.1296,NaN
1,10000268,2,8,16,6.5,23.9,0,4,192.4592,NaN
1,10000268,2,8,16,7,24.2,0,4,764.6664,NaN
1,10000268,2,8,16,7.5,24.2,0,4,937.1408,NaN
1,10000268,2,8,16,8,24.8,0,4,1595.6138,NaN
1,10000268,2,8,16,8.5,24.8,0,4,1992.3288,NaN
1,10000268,2,8,16,9,26.5,0,2,2176.212,NaN
1,10000268,2,8,16,9.5,26.5,0,2,2442.18,NaN
1,10000268,2,8,16,10,28.7,0,2,2598.1956,NaN
1,10000268,2,8,16,10.5,28.7,0,2,2555.7612,NaN
1,10000268,2,8,16,11,30.5,0,2,2361.7412,NaN
1,10000268,2,8,16,11.5,30.5,0,2,2259.4156,NaN
1,10000268,2,8,16,12,31.2,0,3,1990.6784,NaN
1,10000268,2,8,16,12.5,31.2,0,3,1960.1268,NaN
1,10000268,2,8,16,13,30.5,0,3,1151.6688,NaN
1,10000268,2,8,16,13.5,30.5,0,3,1172.4832,NaN
1,10000268,2,8,16,14,31.2,0,3,1310.7198,NaN
1,10000268,2,8,16,14.5,31.2,0,3,786.3492,NaN
1,10000268,2,8,16,15,30.7,0,4,743.652,NaN
1,10000268,2,8,16,15.5,30.7,0,4,744.6176,NaN
1,10000268,2,8,16,16,29.8,0,4,430.0592,NaN
1,10000268,2,8,16,16.5,29.8,0,4,311.5178,NaN
1,10000268,2,8,16,17,29.4,0,4,183.6096,NaN
1,10000268,2,8,17,6.5,24.1,0,4,166.4512,NaN
1,10000268,2,8,17,7,24.6,0,4,183.3956,NaN
1,10000268,2,8,17,7.5,24.6,0,4,200.6944,NaN
1,10000268,2,8,17,8,24.4,0,4,237.3162,NaN
1,10000268,2,8,17,8.5,24.4,0,4,329.8986,NaN
1,10000268,2,8,17,9,27,0,4,871.926,NaN
1,10000268,2,8,17,9.5,27,0,4,2053.532,NaN
1,10000268,2,8,17,10,28.2,0,4,1722.656,NaN
1,10000268,2,8,17,10.5,28.2,0,4,1972.0548,NaN
1,10000268,2,8,17,11,31.6,0,4,2933.1302,NaN
1,10000268,2,8,17,11.5,31.6,0,4,2279.36,NaN
1,10000268,2,8,17,12,31.2,0,3,2311.1672,NaN
1,10000268,2,8,17,12.5,31.2,0,3,2443.924,NaN
1,10000268,2,8,17,13,32,0,3,1616.4576,NaN
1,10000268,2,8,17,13.5,32,0,3,1908.98,NaN
1,10000268,2,8,17,14,32.3,0,3,1417.1742,NaN
1,10000268,2,8,17,14.5,32.3,0,3,1637.7348,NaN
1,10000268,2,8,17,15,32.3,0,3,873.054,NaN
1,10000268,2,8,17,15.5,32.3,0,3,701.8524,NaN
1,10000268,2,8,17,16,31.7,0,3,370.2056,NaN
1,10000268,2,8,17,16.5,31.7,0,3,245.6934,NaN
1,10000268,2,8,17,17,31,0,3,209.8896,NaN
1,10000268,2,8,18,6.5,24.4,0,4,133.9412,NaN
1,10000268,2,8,18,7,24.8,0,4,310.84,NaN
1,10000268,2,8,18,7.5,24.8,0,4,491.5312,NaN
1,10000268,2,8,18,8,25.2,0,4,681.0782,NaN
1,10000268,2,8,18,8.5,25.2,0,4,2126.0132,NaN
1,10000268,2,8,18,9,26.7,0,4,2361.166,NaN
1,10000268,2,8,18,9.5,26.7,0,4,2279.368,NaN
1,10000268,2,8,18,10,29.1,0,4,1320.878,NaN
1,10000268,2,8,18,10.5,29.1,0,4,2000.6784,NaN
1,10000268,2,8,18,11,29.9,0,4,1342.432,NaN
1,10000268,2,8,18,11.5,29.9,0,4,2770.9682,NaN
1,10000268,2,8,18,12,30.3,0,4,2115.7472,NaN
1,10000268,2,8,18,12.5,30.3,0,4,1386.5528,NaN
1,10000268,2,8,18,13,30.3,0,4,1151.6688,NaN
1,10000268,2,8,18,13.5,30.3,0,4,850.2312,NaN
1,10000268,2,8,18,14,30.2,0,4,872.8968,NaN
1,10000268,2,8,18,14.5,30.2,0,4,914.4512,NaN
1,10000268,2,8,18,15,30.3,0,4,596.232,NaN
1,10000268,2,8,18,15.5,30.3,0,4,766.0002,NaN
1,10000268,2,8,18,16,29.7,0,4,894.894,NaN
1,10000268,2,8,18,16.5,29.7,0,4,273.3962,NaN
1,10000268,2,8,18,17,29.1,0,4,117.6896,NaN
1,10000268,2,8,19,6.5,24.3,0,4,264.3978,NaN
1,10000268,2,8,19,7,24.1,0,4,410.41,NaN
1,10000268,2,8,19,7.5,24.1,0,4,1044.792,NaN
1,10000268,2,8,19,8,25.2,0,4,1617.1328,NaN
1,10000268,2,8,19,8.5,25.2,0,4,2053.1364,NaN
1,10000268,2,8,19,9,26.3,0,4,2319.6784,NaN
1,10000268,2,8,19,9.5,26.3,0,4,2422.5198,NaN
1,10000268,2,8,19,10,24.7,0,4,2544.594,NaN
1,10000268,2,8,19,10.5,24.7,0,4,2564.3616,NaN
1,10000268,2,8,19,11,24,2.5,4,2442.9312,NaN
1,10000268,2,8,19,11.5,24,2.5,4,2341.4304,NaN
1,10000268,2,8,19,12,25.2,4,4,1386.1792,NaN
1,10000268,2,8,19,12.5,25.2,4,4,1743.1662,NaN
1,10000268,2,8,19,13,24.8,0.5,4,851.7312,NaN
1,10000268,2,8,19,13.5,24.8,0.5,4,1321.788,NaN
1,10000268,2,8,19,14,25.3,1.5,4,2178.9768,NaN
1,10000268,2,8,19,14.5,25.3,1.5,4,1742.1872,NaN
1,10000268,2,8,19,15,26.8,0,4,894.348,NaN
1,10000268,2,8,19,15.5,26.8,0,4,744.6176,NaN
1,10000268,2,8,19,16,26.1,0,4,460.9904,NaN
1,10000268,2,8,19,16.5,26.1,0,4,117.6028,NaN
1,10000268,2,8,19,17,25.6,0,4,59.2,NaN
1,10000268,2,8,20,6.5,22.6,4,10,117.801,NaN
1,10000268,2,8,20,7,23.4,1,10,117.26,NaN
1,10000268,2,8,20,7.5,23.4,1,10,102.816,NaN
1,10000268,2,8,20,8,23.1,0,10,149.8636,NaN
1,10000268,2,8,20,8.5,23.1,0,10,573.858,NaN
1,10000268,2,8,20,9,23.4,0,10,490.6096,NaN
1,10000268,2,8,20,9.5,23.4,0,10,165.4656,NaN
1,10000268,2,8,20,10,25.2,0,10,133.926,NaN
1,10000268,2,8,20,10.5,25.2,0,10,553.0976,NaN
1,10000268,2,8,20,11,26.2,0,10,1130.0032,NaN
1,10000268,2,8,20,11.5,26.2,0,10,1087.5026,NaN
1,10000268,2,8,20,12,26.3,0,4,700.9064,NaN
1,10000268,2,8,20,12.5,26.3,0,4,226.9358,NaN
1,10000268,2,8,20,13,26.8,0,4,471.6576,NaN
1,10000268,2,8,20,13.5,26.8,0,4,585.8736,NaN
1,10000268,2,8,20,14,23.9,5,4,292.7496,NaN
1,10000268,2,8,20,14.5,23.9,5,4,616.8604,NaN
1,10000268,2,8,20,15,26.1,0,4,293.202,NaN
