number,ID,year,month,day,time,Temp,Rain,CloudCover,generation,opticalflow
2,1270000041,4,2,23,6.5,4.2,0,2,33.4334,32.22558419
2,1270000041,4,2,23,7,3.6,0,2,236.895,255.254949
2,1270000041,4,2,23,7.5,3.6,0,2,491.04,691.17907272
2,1270000041,4,2,23,8,5.4,0,2,851.5306,743.263188382
2,1270000041,4,2,23,8.5,5.4,0,2,2852.0492,1890.488049188
2,1270000041,4,2,23,9,7.2,0,4,5004.4416,5063.59288896
2,1270000041,4,2,23,9.5,7.2,0,4,6171.436,6367.253474
2,1270000041,4,2,23,10,9.3,0,2,7816.55,7734.460608
2,1270000041,4,2,23,10.5,9.3,0,2,8591.1826,8325.635840262
2,1270000041,4,2,23,11,10.3,0,2,9214.8056,9225.88269848
2,1270000041,4,2,23,11.5,10.3,0,2,9768.1584,9748.019404416
2,1270000041,4,2,23,12,10.4,0,2,9556.9474,9548.4740825
2,1270000041,4,2,23,12.5,10.4,0,2,8848.5996,9616.871334
2,1270000041,4,2,23,13,9.7,0,2,9148.699,9446.90902525
2,1270000041,4,2,23,13.5,9.7,0,2,8084.1342,8630.467090822
2,1270000041,4,2,23,14,9.7,0,2,6489.948,7550.024023136
2,1270000041,4,2,23,14.5,9.7,0,2,6067.8982,6087.909132682
2,1270000041,4,2,23,15,10.3,0,2,3535.742,5059.06051825
2,1270000041,4,2,23,15.5,10.3,0,2,1503.578,3348.83325611
2,1270000041,4,2,23,16,9.7,0,2,1213.45,1235.264481878
2,1270000041,4,2,23,16.5,9.7,0,2,1087.337,735.41947147
2,1270000041,4,2,23,17,9.3,0,4,596.068,390.53072916
2,1270000041,4,2,24,6.5,2.2,0,2,33.396,45.97418572
2,1270000041,4,2,24,7,2.2,0,2,255.255,243.76543185
2,1270000041,4,2,24,7.5,2.2,0,2,744.744,745.3614456
2,1270000041,4,2,24,8,3.2,0,2,1259.0578,1254.296473568
2,1270000041,4,2,24,8.5,3.2,0,2,2972.0544,2991.992970464
2,1270000041,4,2,24,9,6.8,0,2,4843.008,4944.340980576
2,1270000041,4,2,24,9.5,6.8,0,2,5971.734,6141.9061941
2,1270000041,4,2,24,10,9.8,0,2,7357.7,7454.8215595
2,1270000041,4,2,24,10.5,9.8,0,2,8147.7088,7886.517285584
2,1270000041,4,2,24,11,10.8,0,2,8803.9328,8823.139829114
2,1270000041,4,2,24,11.5,10.8,0,2,9188.9304,9298.783521248
2,1270000041,4,2,24,12,11.4,0,2,9412.7408,9857.356360268
2,1270000041,4,2,24,12.5,11.4,0,2,9521.1316,8598.926610572
2,1270000041,4,2,24,13,11.8,0,2,9303.064,10158.61420907
2,1270000041,4,2,24,13.5,11.8,0,2,8920.7594,8671.595488372
2,1270000041,4,2,24,14,11.7,0,2,8100.928,8419.274586304
2,1270000041,4,2,24,14.5,11.7,0,2,6548.5238,7560.164989468
2,1270000041,4,2,24,15,12,0,2,3290.4048,5498.10947715
2,1270000041,4,2,24,15.5,12,0,2,2667.853,3049.49595812
2,1270000041,4,2,24,16,11.4,0,2,1257.1342,2073.810610228
2,1270000041,4,2,24,16.5,11.4,0,2,1098.693,746.03488993
2,1270000041,4,2,24,17,11,0,2,669.944,403.97290252
2,1270000041,4,2,26,6.5,3.4,0,2,33.396,44.58397924
2,1270000041,4,2,26,7,4.5,0,4,311.9116,266.441703412
2,1270000041,4,2,26,7.5,4.5,0,4,841.2404,841.2404
2,1270000041,4,2,26,8,7.4,0,4,1450.2488,1430.54062872
2,1270000041,4,2,26,8.5,7.4,0,4,3014.2112,3013.68393888
2,1270000041,4,2,26,9,8.7,0,4,2981.4768,4928.393106576
2,1270000041,4,2,26,9.5,8.7,0,4,2209.606,3690.61832132
2,1270000041,4,2,26,10,10,0,4,3131.45,3127.0541365
2,1270000041,4,2,26,10.5,10,0,4,2868.0624,3238.848004784
2,1270000041,4,2,26,11,10.2,0,4,2462.1168,2971.233964738
2,1270000041,4,2,26,11.5,10.2,0,4,2422.8048,2547.11684604
2,1270000041,4,2,26,12,10.8,0,4,2289.8708,2541.068782568
2,1270000041,4,2,26,12.5,10.8,0,4,2449.938,1953.710936332
2,1270000041,4,2,26,13,12,0,4,1883.253,2547.58058093
2,1270000041,4,2,26,13.5,12,0,4,1644.0658,1756.973526686
2,1270000041,4,2,26,14,11.7,0,10,1169.1112,1480.24713188
2,1270000041,4,2,26,14.5,11.7,0,10,669.4428,1052.908905048
2,1270000041,4,2,26,15,11.2,0,10,692.7168,547.949884658
2,1270000041,4,2,26,15.5,11.2,0,10,412.486,788.5581351
2,1270000041,4,2,26,16,10.2,0,10,330.0584,334.210073561
2,1270000041,4,2,26,16.5,10.2,0,10,235.637,250.909406178
2,1270000041,4,2,26,17,9.2,1,10,201.388,147.39024036
2,1270000041,4,2,28,6.5,8.2,0,4,46,45.10639894
2,1270000041,4,2,28,7,8.4,0,2,311.6,410.08897
2,1270000041,4,2,28,7.5,8.4,0,2,808.6454,937.788281832
2,1270000041,4,2,28,8,9.1,0,4,1574.592,1189.84746816
2,1270000041,4,2,28,8.5,9.1,0,4,2237.1732,2836.29751866
2,1270000041,4,2,28,9,10.9,0,4,3274.0752,3249.65912472
2,1270000041,4,2,28,9.5,10.9,0,4,5971.734,4143.09570462
2,1270000041,4,2,28,10,13.7,0,4,7655.55,7399.4745895
2,1270000041,4,2,28,10.5,13.7,0,4,7372.5568,7912.833782112
2,1270000041,4,2,28,11,13.7,0,4,7050.6072,7941.972847562
2,1270000041,4,2,28,11.5,13.7,0,4,7514.6344,7323.758549744
2,1270000041,4,2,28,12,13.2,0,2,7671.5948,8060.875052004
2,1270000041,4,2,28,12.5,13.2,0,2,7657.2572,6961.032089792
2,1270000041,4,2,28,13,13.5,0,2,8263.673,8207.90987867
2,1270000041,4,2,28,13.5,13.5,0,2,5642.356,7595.515120344
2,1270000041,4,2,28,14,13.2,0,4,5145.9304,5315.014626224
2,1270000041,4,2,28,14.5,13.2,0,4,4076.735,4725.73447593
2,1270000041,4,2,28,15,13.1,0,4,4423.2854,3419.083728452
2,1270000041,4,2,28,15.5,13.1,0,4,3559.355,4059.85247252
2,1270000041,4,2,28,16,12.2,0,4,1524.0932,2597.377930266
2,1270000041,4,2,28,16.5,12.2,0,4,701.233,911.4246108
2,1270000041,4,2,28,17,11.9,0,4,330.924,267.82732812
3,1800000002,4,2,16,6.5,3.7,0,2,33.4334,NaN
3,1800000002,4,2,16,7,1.8,0,2,117.593,NaN
3,1800000002,4,2,16,7.5,1.8,0,2,218.8186,216.728392706
3,1800000002,4,2,16,8,3.1,0,2,350.7504,342.167344992
3,1800000002,4,2,16,8.5,3.1,0,2,595.4886,704.64860424
3,1800000002,4,2,16,9,6.3,0,2,450.6304,471.864093376
3,1800000002,4,2,16,9.5,6.3,0,2,553.283,883.61679978
3,1800000002,4,2,16,10,6.9,0,2,702.1014,391.754884878
3,1800000002,4,2,16,10.5,6.9,0,2,1407.042,1629.19814148
3,1800000002,4,2,16,11,7.9,0,2,1108.9408,1405.904466384
3,1800000002,4,2,16,11.5,7.9,0,2,1888.6428,1640.785393224
3,1800000002,4,2,16,12,8.4,0,2,1216.4152,1003.772553056
3,1800000002,4,2,16,12.5,8.4,0,2,1322.9216,1302.85482208
3,1800000002,4,2,16,13,9.3,0,2,2279.4624,2681.759873088
3,1800000002,4,2,16,13.5,9.3,0,2,2424.8224,2064.441685536
3,1800000002,4,2,16,14,8.9,0,2,2342.9406,2282.07306294
3,1800000002,4,2,16,14.5,8.9,0,2,2322.5202,2205.636667902
3,1800000002,4,2,16,15,9.1,0,3,2045.043,2016.68634387
3,1800000002,4,2,16,15.5,9.1,0,3,1597.7962,1573.503089492
3,1800000002,4,2,16,16,8.3,0,3,1088.087,1088.0922176
3,1800000002,4,2,16,16.5,8.3,0,3,450.8504,446.020274368
3,1800000002,4,2,16,17,7.4,0,3,201.0432,230.48914976
3,1800000002,4,2,17,6.5,-0.3,0,2,33.396,NaN
3,1800000002,4,2,17,7,0,0,2,149.8,109.789405684
3,1800000002,4,2,17,7.5,0,0,2,183.52,227.73427776
3,1800000002,4,2,17,8,1.9,0,2,311.4332,440.70886275
3,1800000002,4,2,17,8.5,1.9,0,2,553.4046,371.011870656
3,1800000002,4,2,17,9,3.4,0,3,450.8504,342.5298756
